	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
1058	TUTT A7	III_35_0033, III_35_0034, III_35_0032	Engen, Engen	8.76853, 47.85186	gugumre	g u g u m r e	gugummere	g u g u mm e r e	2
1059	KST W2	III_24_0024	Hamberg, Hamberg	8.76924, 48.81833	gugumer	g u g u m e r	gugumre	g u g u m r e	2
1060	TUTT A9	III_35_0030, III_35_0031	Neuhausen (b. Engen), Neuhausen	8.77423, 47.8379	gugumara	g u g u m a r a	gugummerə	g u g u mm e r ə	3
1061	TUTT P4	III_37_0016	Gotttmadingen, Gottmadingen	8.77716, 47.73498	guckgummer	g u ck g u mm e r	gugumera	g u g u m e r a	4
1062	KST e7	III_18_0031	Horrenberg, Horrenberg	8.78051, 49.28149	gugumer	g u g u m e r	guggumer	g u gg u m e r	1
1063	KST m5	III_19_0032, III_19_0031, III_19_0030	Michelfeld, Michelfeld	8.7808, 49.22723	gugummer	g u g u mm e r	gugumma	g u g u mm a	2
1064	KST e14	III_18_0030	Eschelbach, Eschelbach	8.78417, 49.24823	gugumma	g u g u mm a	geggummer	g e gg u m m e r	4
1065	TUTT H3	III_36_0034	Duchtlingen, Duchtlingen	8.79029, 47.79154	guggummere	g u gg u m m e r e	guckummere	g u ck u mm e r e	2
1066	TUTT H1	III_36_0030	Ehingen, Ehingen	8.80075, 47.82351	guggummere	g u gg u m m e r e	gugumere	g u g u m e r e	2
1067	KST m6	III_19_0033	Waldangelloch, Waldangelloch	8.80551, 49.21046	gugumma	g u g u mm a	gugumer	g u g u m e r	2
1068	KST t11	III_20_0033	Landshausen, Landshausen	8.80627, 49.14899	gugummr	g u g u mm r	gugummer	g u g u mm e r	1
1069	TUTT A6	III_35_0035	Bittelbrunn (Aach), Bittelbrunn	8.81087, 47.86719	guggummere	g u gg u m m e r e	gugummere	g u g u mm e r e	1
1070	TUTT A5	III_35_0036	Biesendorf, Biesendorf	8.81255, 47.91175	gogumera	g o g u m e r a	gugumra	g u g u m r a	2
1071	KST e5	III_18_0033, III_18_0034	Meckesheim, Meckesheim	8.81557, 49.32167	gugumre	g u g u m r e	gugummer	g u g u mm e r	2
1072	KST W6	III_24_0035	Lehningen, Lehningen	8.81639, 48.79486	gugomer	g u g o m e r	gugommere	g u g o mm e r e	2
1073	KST t8	III_20_0040	Zaisenhausen, Zaisenhausen	8.81712, 49.10745	gugummer	g u g u mm e r	gugumma	g u g u mm a	2
1074	TUTT J4	III_36_0150	Singen, Singen	8.83317, 47.76378	guggummere	g u gg u m m e r e	gugummere	g u g u mm e r e	1
1075	TUTT J2 /1	III_36_0052	Schlatt (unter Krähen), Schlatt	8.83529, 47.80435	gugumera	g u g u m e r a	gugummere	g u g u mm e r e	2
1076	KST n1	III_19_0034	Dühren, Dühren	8.83562, 49.24557	guguma	g u g u m a	gugummere	g u g u mm e r e	4
1077	MH S1	II_60_0052	Dilsberg, Dilsberg	8.8362, 49.39832	guggummere	g u gg u m m e r e	gegummere	g e g u mm e r e	2
1078	TUTT Q13	III_37_0017	Rieslasingen, Rielasingen	8.83715, 47.73231	guggummere	g u gg u m m e r e	gugummera	g u g u mm e r a	2
1079	KST n11	III_19_0042, III_19_0043, III_19_0041	Elsenz, Elsenz	8.83766, 49.17408	gukummer	g u k u mm e r	gugummer	g u g u mm e r	1
1080	KST B1	III_21_0033	Kürnbach, Kürnbach	8.84279, 49.07732	gugumma	g u g u mm a	gugummer	g u g u mm e r	2
1081	KST u4	III_20_0041	Rohrbach (am Giesshübel), Rohrbach	8.85649, 49.14055	gugumer	g u g u m e r	gegumme	g e g u mm e	3
1082	TUTT z2	III_33_0041	Nendingen, Nendingen	8.86067, 48.00602	gugummera	g u g u mm e r a	gugommra	g u g o mm r a	2
1083	KST n12	III_19_0038, III_19_0039, III_19_0040	Hilsbach, Hilsbach	8.86227, 49.1957	gugummer	g u g u mm e r	guckummer	g u ck u mm e r	2
1084	TUTT J1	III_36_0043	Volkertshausen, Volkertshausen	8.863, 47.82187	gukumere	g u k u m e r e	gugummere	g u g u mm e r e	2
1085	TUTT Q3	III_37_0019	Worblingen, Worblingen	8.86677, 47.72492	gugumera	g u g u m e r a	gugummera	g u g u mm e r a	1
1086	KST f8	III_18_0047, III_18_0046	Sinsheim, Sinsheim	8.87357, 49.25387	gugummer	g u g u mm e r	gegummer	g e g u mm e r	1
1087	TUTT J6	III_36_0044	Beuren an der Aach, Beuren	8.87459, 47.79932	gugummer	g u g u mm e r	gugumer	g u g u m e r	1
1088	TUTT X1	III_38_0024	Öhningen, Öhningen	8.89136, 47.66162	guggummĕre	g u gg u m m ĕ r e	guggummera	g u gg u m m e r a	2
1089	TUTT Q2	III_37_0020	Überlingen am Ried, Überlingen am Ried	8.89807, 47.73495	gugumere	g u g u m e r e	gugummer	g u g u mm e r	2
1090	TUTT Q12	III_37_0022	Schienen, Schienen	8.90035, 47.68774	gugu̍mmere	g u g u ̍ mm e r e	gugummer	g u g u mm e r	2
1091	KST u6	III_20_0052	Mühlbach, Mühlbach	8.90301, 49.09703	gugumer	g u g u m e r	gugummer	g u g u mm e r	1
1092	TUTT B3	III_35_0045	Reute, Reute	8.90723, 47.8873	gugumer	g u g u m e r	gugumere	g u g u m e r e	1
1093	TUTT u4	III_34_0047	Liptingen, Liptingen	8.90748, 47.93756	gugumörö	g u g u m ö r ö	gukumerä	g u k u m e r ä	3
1094	KST u3	III_20_0050, III_20_0047, III_20_0051, III_20_0049, III_20_0048	Eppingen, Eppingen	8.9098, 49.13704	gugumer	g u g u m e r	gugummar	g u g u mm a r	2
1095	MH S14	II_60_0058	Epfenbach, Epfenbach	8.91088, 49.33719	gugumer	g u g u m e r	gugumä	g u g u m ä	2
1096	TÜB f1	III_25_0047	Döffingen, Döffingen	8.91383, 48.7106	gugammer	g u g a mm e r	gugumer	g u g u m e r	2
1097	KST n3	III_19_0045	Reihen, Reihen	8.91628, 49.21715	gugumma	g u g u mm a	guguma	g u g u m a	1
1098	KST f3	III_18_0049, III_18_0050	Waibstadt, Waibstadt	8.9198, 49.29982	gugummr	g u g u mm r	gugumme	g u g u mm e	1
1099	MH S11	II_60_0067	Haag, Haag	8.92912, 49.39429	gégummer	g é g u mm e r	gegummer	g e g u mm e r	1
1100	TUTT Q7	III_37_0025	Bankholzen, Bankholzen	8.92989, 47.7082	gugummere	g u g u mm e r e	gugumr	g u g u m r	3
1101	TUTT X2	III_38_0025	Wangen, Wangen	8.93161, 47.6599	gugumere	g u g u m e r e	gugummere	g u g u mm e r e	1
1102	TUTT Q5	III_37_0024	Moos, Moos	8.93316, 47.7259	guggummer	g u gg u m m e r	guggumer	g u gg u m e r	1
1103	TUTT B1	III_35_0047	Heudorf, Heudorf	8.93517, 47.91373	gugundere	g u g u n d e r e	gugummer	g u g u mm e r	3
1104	KST n9	III_19_0046	Ittlingen, Ittlingen	8.93691, 49.19224	guguma	g u g u m a	gugummer	g u g u mm e r	3
1105	KST n8	III_19_0047	Richen, Richen	8.94083, 49.17134	gugummer	g u g u mm e r	gugguma	g u gg u m a	4
1106	TUTT Q8	III_37_0028	Weiler und Iznag, Weiler	8.95347, 47.70847	gugummere	g u g u mm e r e	guggum̄ere	g u gg u m ̄ e r e	2
1107	TUTT B8	III_35_0051	Nenzingen, Nenzingen	8.95914, 47.84256	gugummerå	g u g u mm e r å	guggumere	g u gg u m e r e	3
1108	TUTT B10	III_35_0048	Raithaslach, Raithaslach	8.96262, 47.88125	gugummere	g u g u mm e r e	gugummera	g u g u mm e r a	1
1109	KST u2	III_20_0057	Stebbach, Stebbach	8.96448, 49.14676	gugůmma	g u g ů mm a	gugumma	g u g u mm a	1
1110	TUTT Q11	III_37_0029	Hemmenhofen, Hemmenhofen	8.96502, 47.67294	gugumere	g u g u m e r e	gugummere	g u g u mm e r e	1
