Koordinaten	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Longitude	Latitude	Levenshtein Item Min	z_score_item	Levenshtein Phontype Min	z_score_phontype	Levenshtein Lextype Min	z_score_lextype
7.31671, 48.18091	Stra V 6	III_12_0006	7.31671	48.18091	16	-2.4770672379596457	7	-4.626146873807633	0	-6.7652694507715
7.31728, 48.67755	Stra d 2	III_8_0026	7.31728	48.67755	23	2.00781617509553	14	-0.3183682937008634	9	-1.5110933203540757
7.31747, 47.72106	Co N16	III_15_0023	7.31747	47.72106	11	-5.122299717995296	1	-7.808018487961184	0	-6.7652694507715
7.31832, 48.35651	Stra G 5	na	7.31832	48.35651	0	0.0	0	0.0	0	0.0
7.31874, 48.17063	Stra V 5	III_12_0007	7.31874	48.17063	19	-0.8899277499382562	6	-5.156458809499891	0	-6.7652694507715
7.31925, 47.5857	Co Ua 3	III_16_0035	7.31925	47.5857	40	10.220048666211474	19	1.7375963544994681	18	2.77661574566742
7.32076, 48.85864	Hag N 8	III_6_0032	7.32076	48.85864	18	-1.4189742459453856	13	-1.444275259654083	9	-1.99432685255204
7.32094, 48.14982	Co c 13	III_12_0076, III_12_0077	7.32094	48.14982	7	-7.238485702023816	1	-7.808018487961184	0	-6.7652694507715
7.32264, 48.15802	Co c 3	III_12_0075	7.32264	48.15802	16	-2.4770672379596457	3	-6.747394616576667	0	-6.7652694507715
7.32318, 47.60479	Co U 11	na	7.32318	47.60479	0	0.0	0	0.0	0	0.0
7.32375, 48.49241	Stra z 1/1, Stra z 1/2	III_10_0085	7.32375	48.49241	20	-0.36088125393112674	18	1.20728441880721	14	0.6561968131254374
