	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
22	Co i 2	III_13_0009	Sulzern (Soultzeren), Sulzern	7.10254, 48.06373	dissĕl	d i ss ĕ l	däichsel	d ä i ch s e l	4
23	Co E7	III_14_0094	Tann (Thann), Thann	7.10335, 47.81019	dissel	d i ss e l	disel	d i s e l	1
24	Co M9	III_15_0009	Diefmatten Kreis Altkirch, Diefmatten	7.11319, 47.70828	tissel	t i ss e l	dissel	d i ss e l	1
25	Hag T 1	III_6_0011	Hirschland, Hirschland	7.11324, 48.83701	tissel	t i ss e l	dissel	d i ss e l	1
26	Co T12	III_16_0002	Altenach, Altenach	7.11466, 47.60658	dīsel	d ī s e l	dissel	d i ss e l	2
27	Co i 6	III_13_0005	Luttenbach (Luttenbach-Près-Munster), Luttenbach	7.11745, 48.03105	dissel	d i ss e l	dischel	d i sch e l	2
28	Co T13	III_16_0003	St. Ulrich bei Dammerkirch, St. Ulrich	7.11911, 47.59537	dissel	d i ss e l	dissl	d i ss l	1
29	Co T6	III_16_0018	Dammerkirch (Dannemarie), Dammerkirch	7.1214, 47.63024	dissl	d i ss l	dissel	d i ss e l	1
30	Hag E 1	III_4_0050	Örmingen (Oermingen), Örmingen	7.12881, 49.00062	dissel	d i ss e l	tissel	t i ss e l	1
31	Co E10	III_14_0098	Oberasbach (Aspach-Le-Haute), Oberaspach	7.13352, 47.77692	dissel	d i ss e l	dissl	d i ss l	1
32	Co i 4	III_13_0010	Eschbach, Eschbach	7.14594, 48.02896	dissel	d i ss e l	disel	d i s e l	1
33	Co q 7	III_13_0099	Lautenbachzell, Lautenbachzell	7.14925, 47.94057	dissel	d i ss e l	dichsel	d i ch s e l	2
34	Co Vc 1	III_17_0002	Friesen, Friesen	7.15001, 47.56535	dissel	d i ss e l	dichel	d i ch e l	2
35	Co E11	III_14_0099	Niederasbach (Aspach-Le-Bas), Niederaspach	7.15065, 47.7618	dissl	d i ss l	disel	d i s e l	1
36	Co T4	III_16_0009	Hagenbach, Hagenbach	7.15712, 47.65028	disel	d i s e l	dissel	d i ss e l	1
37	Hag M 6	III_6_0009	Güngweiler (Gungwiller), Gu[e]ngweiler	7.15771, 48.88171	dissl	d i ss l	dischel	d i sch e l	3
38	Co q 3	III_13_0011	Wasserburg Kreis Colmar (Wasserbourg), Wasserburg	7.15948, 48.00283	disel	d i s e l	dichsel	d i ch s e l	2
39	Hag M 9	III_6_0010	Weyer, Weyer	7.15976, 48.85488	dissl	d i ss l	disel	d i s e l	1
40	Co M5	III_15_0013	Niederburnhaupt (Burnhaupt-Le-Bas), Niederburnhaupt	7.16039, 47.71674	dissel	d i ss e l	disel	d i s e l	1
41	Co q 6	III_13_0101	Murbach, Murbach	7.1604, 47.92318	dissel	d i ss e l	deichsel	d ei ch s e l	3
42	Co N1	III_14_0100	Schweighausem (Schweighouse-Thann), Schweighausen	7.16714, 47.75272	dīssel	d ī ss e l	dischle	d i sch l e	4
43	Co N12	III_15_0028	Balschweiler bei Altkirch, Balschweiler	7.1681, 47.66772	dīesel	d ī e s e l	dissel	d i ss e l	2
