	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
2152	MH U8	II_60_0089	Billigheim, Billigheim	9.25406, 49.34748	9.25406	49.34748	mugge	mücke	3	0.8055815470161238	muke	müke	1	-0.06528309456870167	Mücke	Mücke	0	-0.48323353219796433
2153	SIG g2/2, SIG g2/1, SIG g2/1	III_34_0063, III_34_0065	Pfullendorf, Pfullendorf, Pfullendorf	9.25466, 47.92614	9.25466	47.92614	mucka, fluig, fliag	fluig	999	527.7358915701176	muke, flieg, fluig	fluig	999	529.1860287263053	Fliege, Mücke	Fliege	999	529.091394870162
2154	MH M11	II_59_0118	Waldhausen, Waldhausen	9.25731, 49.46733	9.25731	49.46733	muck	mucke	1	-0.25251144499813616	muk	muke	1	-0.06528309456870167	Mücke	Mücke	0	-0.48323353219796433
2155	SIG g1	na	Zell am Andelsbach	9.25932, 47.96971	9.25932	47.96971	flūig	na	999	527.7358915701176	fluig	na	999	529.1860287263053	Fliege	na	999	529.091394870162
2156	MH Y3	III_18_0075	Herbolzheim, Herbolzheim	9.26007, 49.28376	9.26007	49.28376	muckä	mugge	3	0.8055815470161238	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2157	SIG n9	na	Rickenbach	9.26015, 47.7972	9.26015	47.7972	mugga, fliege	na	0	-0.7815579410052661	muke, fliege	na	0	-0.5955950302609602	Fliege, Mücke	na	0	-0.48323353219796433
2158	SIG q11	na	Mühlhofen	9.26168, 47.73847	9.26168	47.73847	fliēge	na	999	527.7358915701176	fliäge	na	999	529.1860287263053	Fliege	na	999	529.091394870162
2159	MH U6	II_60_0087	Katzental, Katzental	9.26618, 49.37338	9.26618	49.37338	mucke	mugge	2	0.27653505100899384	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2160	SIG q8/2	na	Meersburg/Daisendorf	9.26779, 47.71169	9.26779	47.71169	fliieͦg	na	999	527.7358915701176	fliäg	na	999	529.1860287263053	Fliege	na	999	529.091394870162
2161	MH Y2	III_18_0074	Neudenau, Neudenau	9.27037, 49.2923	9.27037	49.2923	mugge	mugge	0	-0.7815579410052661	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
