	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
249	Co U 3	III_16_0025	Obermorschweiler (Obermorschwiller), Obermorschweiler	7.31001, 47.64239	7.31001	47.64239	scharmaus	scharmaus	0	-0.7815579410052661	scharmaus	scharmaus	0	-0.5955950302609602	Schärmaus	Schärmaus	0	-0.48323353219796433
250	Stra O 2	III_11_0084	Neukirch (Neuve-Église), Neukirch	7.31338, 48.32872	7.31338	48.32872	mülwolfer	müllwolfer	1	-0.25251144499813616	mülwolfer	mülwolfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
251	Hag N 1	III_5_0049	Puberg, Puberg	7.31461, 48.91322	7.31461	48.91322	mülwerfer	mülwerfer	0	-0.7815579410052661	mülwerfer	mülwerfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
252	Co Ua 9	III_17_0029	Waldighofen, Waldighofen	7.31605, 47.55061	7.31605	47.55061	scharmüs	scheermaus	4	1.3346280430232536	scharmüs	schermaus	3	0.9953407768158152	Schärmaus	Schärmaus	0	-0.48323353219796433
253	Stra V 6	III_12_0006	Hunaweier (Hunawihr), Hunaweier	7.31671, 48.18091	7.31671	48.18091	schallnialer	scharnialer	2	0.27653505100899384	schalnieler	scharnieler	1	-0.06528309456870167	Schärnuler	Schärnuler	0	-0.48323353219796433
254	Stra d 2	III_8_0026	Reinhardsmünster, Reinhardsmünster	7.31728, 48.67755	7.31728	48.67755	mülwalfer	mülwalfer	0	-0.7815579410052661	mülwalfer	mülwalfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
255	Co N16	III_15_0023	Brunnstatt (Brunstatt), Brunstatt	7.31747, 47.72106	7.31747	47.72106	scharmüs	scharmüs	0	-0.7815579410052661	scharmüs	scharmüs	0	-0.5955950302609602	Schärmaus	Schärmaus	0	-0.48323353219796433
256	Stra G 5	na	Erlenbach (Albé)	7.31832, 48.35651	7.31832	48.35651	mǖrwulf	na	999	527.7358915701176	mürwulf	na	999	529.1860287263053	Maulwurf	na	999	529.091394870162
257	Stra V 5	III_12_0007	Zellenberg, Zellenberg	7.31874, 48.17063	7.31874	48.17063	schallnieler	scharnialer	3	0.8055815470161238	schalnieler	scharnieler	1	-0.06528309456870167	Schärnuler	Schärnuler	0	-0.48323353219796433
258	Co Ua 3	III_16_0035	Weiler, Weiler (Kreis Altkirch)	7.31925, 47.5857	7.31925	47.5857	schār	schaarmüss	0	-0.7815579410052661	schar	scharmüs	0	-0.5955950302609602	Schär	Schärmaus	0	-0.48323353219796433
259	Hag N 8	III_6_0032	Lützelstein (La Petite-Pierre), Lützelstein	7.32076, 48.85864	7.32076	48.85864	mülwerfer	mülwerfer	0	-0.7815579410052661	mülwerfer	mülwerfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
260	Co c 13	III_12_0076, III_12_0077	Mittelweier, Mittelweier, Mittelweier	7.32094, 48.14982	7.32094	48.14982	mülwalfr, scharrniarla	schalnierla, scharnierla, scharrniarla	999	527.7358915701176	mülwalfer, scharnieler	scharnieler, schalnieler	999	529.1860287263053	Schärnuler, Maulwerfer	Schärnuler	999	529.091394870162
261	Co c 3	III_12_0075	Bebelnheim, Bebelnheim (Beblenheim), Bebelnheim	7.32264, 48.15802	7.32264	48.15802	schallnialr	hohlmüser, scharrnialer, schallnialer	1	-0.25251144499813616	schalnieler	scharnieler, schalnieler, hohlmüser	999	529.1860287263053	Schärnuler	Schärnuler, Hohlmauser	999	529.091394870162
262	Co U 11	na	Hausgauen	7.32318, 47.60479	7.32318	47.60479	schārmus	na	999	527.7358915701176	scharmus	na	999	529.1860287263053	Schärmaus	na	999	529.091394870162
263	Stra z 1/2, Stra z 1/1	III_10_0085	Grendelbruch, Grendelbruch	7.32375, 48.49241	7.32375	48.49241	mülwarfer, mülwalfer	müllwalfer	1	-0.25251144499813616	mülwarfer, mülwalfer	mülwalfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
264	Stra G 8	III_11_0006	Triembach (Triembach-Au-Val), Triembach	7.32386, 48.33763	7.32386	48.33763	mürwalf	mürwolf	1	-0.25251144499813616	mürwolf	mürwolf	0	-0.5955950302609602	Maulwurf	Maulwurf	0	-0.48323353219796433
265	Co c 8	III_12_0078	Bennweier, Bennweier	7.32417, 48.14496	7.32417	48.14496	scharniêler	scharnieler	1	-0.25251144499813616	scharnieler	scharnieler	0	-0.5955950302609602	Schärnuler	Schärnuler	0	-0.48323353219796433
266	Stra s 2	III_10_0004	Urmatt, Urmatt	7.32457, 48.52675	7.32457	48.52675	müllwalfer	mülwarfer	2	0.27653505100899384	mülwalfer	mülwarfer	1	-0.06528309456870167	Maulwerfer	Maulwerfer	0	-0.48323353219796433
267	Stra V 4	III_12_0005	Rappoltsweiler (Ribeauvillé), Rappoltsweiler, Rappoltsweiler (Ribeauvillé)	7.32486, 48.19355	7.32486	48.19355	mülwarfer, scharniäler	scharnialer	1	-0.25251144499813616	mülwarfer, scharnieler	scharnieler	999	529.1860287263053	Schärnuler, Maulwerfer	Schärnuler	999	529.091394870162
268	Stra O 3	III_11_0085	Diefenbach (Dieffenbach-Au-Val), Diefenbach	7.32766, 48.31529	7.32766	48.31529	mülwalfer	mülwalfer	0	-0.7815579410052661	mülwalfer	mülwalfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
269	Stra d 1	III_8_0027	Sankt Gallen, Tal St, Gallen	7.32779, 48.69001	7.32779	48.69001	mülwalfer	mülwalfer	0	-0.7815579410052661	mülwalfer	mülwalfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
270	Co k 10	III_13_0026	Herlisheim (Herrlisheim), Herlisheim	7.32932, 48.01677	7.32932	48.01677	schärnüeler	schernierler	3	0.8055815470161238	scharnüeler	schernieler	2	0.4650288411235568	Schärnuler	Schärnuler	0	-0.48323353219796433
271	Stra G 1	III_11_0002	Le Hohwald, Hohwald	7.33005, 48.40339	7.33005	48.40339	müllwarfer	müllwarfer	0	-0.7815579410052661	mülwarfer	mülwarfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
272	Stra s 1/1, Stra s 1/2	III_10_0001	Oberhaslach, Oberhaslach	7.33046, 48.5499	7.33046	48.5499	müllwarfer, mülwärfer	mülwarfer	1	-0.25251144499813616	mülwarfer, mülwerfer	mülwarfer	0	-0.5955950302609602	Maulwerfer	Maulwerfer	0	-0.48323353219796433
273	Co Ua 8	III_17_0008	Roppenzweiler (Roppenzwiller), Roppenzweiler	7.33206, 47.54091	7.33206	47.54091	scharrmǖs	scharrmüs	1	-0.25251144499813616	scharmüs	scharmüs	0	-0.5955950302609602	Schärmaus	Schärmaus	0	-0.48323353219796433
274	Stra m 17	III_8_0043	Hengweiler, Hengweiler	7.33273, 48.66842	7.33273	48.66842	mülwarfer	müllwerfer	2	0.27653505100899384	mülwarfer	mülwerfer	1	-0.06528309456870167	Maulwerfer	Maulwerfer	0	-0.48323353219796433
275	Co Vd 1	III_17_0067	Sondersdorf, Sondersdorf	7.33509, 47.48234	7.33509	47.48234	schårmus	schärmus	1	-0.25251144499813616	scharmus	schärmus	1	-0.06528309456870167	Schärmaus	Schärmaus	0	-0.48323353219796433
276	Stra P 1	III_11_0091	St Moritz (Saint-Maurice), St, Moritz	7.33562, 48.32669	7.33562	48.32669	müllwalfer	mulwalfer	2	0.27653505100899384	mülwalfer	mulwalfer	1	-0.06528309456870167	Maulwerfer	Maulwerfer	0	-0.48323353219796433
277	Co G3	III_14_0123	Kingersheim, Kingersheim	7.33579, 47.79025	7.33579	47.79025	schärmüs	schàrmüs	1	-0.25251144499813616	schärmüs	scharmüs	1	-0.06528309456870167	Schärmaus	Schärmaus	0	-0.48323353219796433
278	Co Va 10	III_17_0009	Dürmenach (Durmenach), Dürmenach	7.3374, 47.5271	7.3374	47.5271	schààrmüüs, schààr	schä̀rmǜǜs, schä̀r	12	5.567000011080293	scharmüs, schar	schär, schärmüs	2	0.4650288411235568	Schär, Schärmaus	Schär, Schärmaus	0	-0.48323353219796433
279	Hag G 1	III_5_0052	Rosteig, Rosteig	7.33838, 48.9327	7.33838	48.9327	meulwarfer	mäulweafer	3	0.8055815470161238	mäulwarfer	maulwerfer	2	0.4650288411235568	Maulwerfer	Maulwerfer	0	-0.48323353219796433
280	Stra P 4	na	Gereut (Neubois)	7.33937, 48.3063	7.33937	48.3063	mülwarfer	na	999	527.7358915701176	mülwarfer	na	999	529.1860287263053	Maulwerfer	na	999	529.091394870162
