	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
572	TUTT b3	III_12_0161	Schonach, Schonach	8.20179, 48.14296	lîche	l î ch e	līche	l ī ch e	1
573	KST E8	III_5_0129	Illingen, Illingen	8.20923, 48.9349	lichd	l i ch d	licht	l i ch t	1
574	TÜB M7	III_12_0174	Gutach, Gutach	8.21021, 48.25051	liech	l ie ch	liecht	l ie ch t	1
575	TUTT E5	III_14_0178	Staufen, Staufen	8.21221, 47.75633	liēcht	l i ē ch t	lich	l i ch	2
576	TÜB M4	III_11_0147, III_11_0079	Oberwolfach, Oberwolfach, Oberwolfach-Walke	8.21698, 48.3174	liecht	l ie ch t	liche	l i ch e	2
577	KST M9	III_6_0108	Niederbühl, Niederbühl	8.21769, 48.84547	leiche	l ei ch e	lich	l i ch	2
578	TÜB M3/2, TÜB M3/1	III_11_0150	Wolfach, Wolfach	8.22076, 48.30289	liichd	l ii ch d	lich	l i ch	2
579	TUTT T2	III_16_0160	Indlekofen, Indlekofen	8.22113, 47.65889	liech	l ie ch	liich	l ii ch	1
580	TUTT M4	III_15_0122	Brenden, Brenden	8.22606, 47.72946	līch	l ī ch	liecht	l ie ch t	3
581	TÜB T4	III_12_0068, III_12_0067	Niederwasser, Niederwasser	8.22818, 48.18982	lieche	l ie ch e	liecht	l ie ch t	1
582	TÜB T2	III_12_0072, III_12_0073	Reichenbach, Reichenbach	8.22958, 48.21343	liichd	l ii ch d	liecht	l ie ch t	2
583	TÜB T1	III_12_0065, III_12_0066	Hornberg, Hornberg	8.23036, 48.21193	līacht	l ī a ch t	liecht	l ie ch t	2
584	TUTT b4	III_12_0165, III_12_0163, III_12_0164	Triberg, Triberg	8.2316, 48.13032	liich	l ii ch	lich	l i ch	1
585	TUTT i7	III_13_0090	Schönenbach, Schönenbach	8.23618, 48.04705	līche	l ī ch e	lieche	l ie ch e	2
586	KST E9	III_5_0131	Au am Rhein, Au am Rhein	8.23933, 48.95136	līch	l ī ch	liech	l ie ch	2
587	TÜB x9	III_10_0142	Bad Griesbach, Bad Griesbach	8.23935, 48.45251	līscht	l ī sch t	leiche	l ei ch e	3
588	KST T14/4, KST T14/1	III_7_0131	Baden-Baden-West, Baden-Baden , Baden-Baden Weststadt	8.24094, 48.76273	laich	l a i ch	leich	l ei ch	1
