	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
508	KST S5	III_7_0111	Neuhäusel (Neuhaeusel), Neuhäusel	8.08594, 48.82427	muͦck	m u ͦ ck	muck	m u ck	1
509	TÜB h3	III_9_0089	Sasbachried, Sasbachried	8.08648, 48.65688	mucke	m u ck e	muck	m u ck	1
510	TÜB w2	III_10_0066, III_10_0067	Ödsbach, Oedsbach	8.08784, 48.49713	muck	m u ck	muggeͣ̈	m u gg e ͣ ̈	5
511	TÜB p4	III_10_0074	Ringelbach, Ringelbach	8.08834, 48.55764	muck	m u ck	mugge	m u gg e	3
512	TÜB D4/2, TÜB D4/1	III_11_0075, III_11_0073, III_11_0074	Unterharmersbach, Zell am Harmersbach, Unterharmersbach	8.08843, 48.35461	muck	m u ck	mucke	m u ck e	1
513	TÜB L3	III_11_0134	Oberentersbach, Oberentersbach	8.09119, 48.32718	mugge	m u gg e	muck	m u ck	3
514	TUTT a6	III_12_0145	Yach, Yach	8.0932, 48.15752	mugge	m u gg e	mucke	m u ck e	2
515	KST S10	III_7_0120	Leiberstung, Lieberstung	8.09585, 48.75131	mugge	m u gg e	muck	m u ck	3
516	KST D3/1, KST D3/3	III_5_0121	Niederlauterbach, Niederlauterbach	8.10398, 48.97233	mick	m i ck	megg	m e gg	3
517	KST S14	III_7_0113	Hügelsheim, Hügelsheim	8.10904, 48.79654	mugge	m u gg e	mugg	m u gg	1
518	TÜB a13	III_8_0108	Ottersweier, Ottersweier	8.11279, 48.66967	muck	m u ck	mugge	m u gg e	3
519	TÜB p8	III_10_0076	Lautenbach, Lautenbach	8.11439, 48.52093	muck	m u ck	mugg	m u gg	2
520	TÜB a8	III_8_0106	Vimbuch, Vimbuch	8.11501, 48.71676	muck	m u ck	mugg	m u gg	2
521	TÜB h15	III_9_0101, III_9_0102	Kappelrodeck, Kappelrodeck	8.11791, 48.59087	muͤck	m u ͤ ck	muck	m u ck	1
522	KST D5	III_5_0118	Neeweiler (Neewiller-près-Lauterbourg), Neeweiler	8.12624, 48.95491	mickä	m i ck ä	migä	m i g ä	2
523	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	mukke	m u kk e	muk	m u k	2
524	TÜB a9	III_8_0099	Weitenung, Weitenung	8.12886, 48.73998	mugg	m u gg	muck	m u ck	2
525	KST D4	III_5_0120, III_5_0119	Scheibenhard, Scheibenhardt, Scheibenhard	8.13481, 48.97663	mick	m i ck	mügg	m ü gg	3
526	KST D7	III_5_0116, III_5_0115	Münchhausen (Munchhausen), Münchhausen	8.14635, 48.92142	mick	m i ck	mücken	m ü ck e n	3
527	TÜB h13	III_9_0096, III_9_0095	Neusatz , Neusatz	8.14904, 48.65879	mugg	m u gg	muck	m u ck	2
528	KST L5	III_6_0090	Plittersdorf bei Rastatt, Plittersdorf	8.15649, 48.88249	migge	m i gg e	migg	m i gg	1
