	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
149	TÜB M8	III_11_0154	Kirnbach, Kirnbach	8.24598, 48.26194	fliége	f l i é g e	fliég	f l i é g	1
150	TÜB M2	III_11_0148	Langenbach, Langenbach	8.25164, 48.3205	fliage	f l i a g e	fliege	f l ie g e	1
151	TUTT i3	III_13_0089	Urach, Urach	8.25368, 48.00477	fliège	f l i è g e	fliēge	f l i ē g e	1
152	TUTT q7	III_14_0075	Friedenweiler, Friedenweiler	8.25483, 47.91602	flie̠ge	f l ie ̠ g e	fliege	f l ie g e	1
153	TUTT i1	III_13_0082	Rohrbach, Rohrbach	8.25784, 48.07437	fliägä	f l i ä g ä	fliĕge	f l i ĕ g e	2
154	TUTT x5	III_14_0076	Holzschlag, Holzschlag	8.26456, 47.84976	fliege	f l ie g e	flieche	f l ie ch e	2
155	TÜB T3	III_12_0070, III_12_0071	Schwanenbach (Reichenbach), Schwanenbach	8.26562, 48.1922	fliäg	f l i ä g	fliàge	f l i à g e	2
156	TUTT i4	III_13_0088	Linach, Linach	8.26602, 48.02831	fliége	f l i é g e	fliâgä	f l i â g ä	2
157	TUTT M5	III_14_0179	Mettenberg, Mettenberg	8.26708, 47.75087	fliäge	f l i ä g e	flüge	f l ü g e	2
158	TUTT M7	III_15_0115	Hürrlingen, Hürrlingen	8.28505, 47.72465	flǖge	f l ü ̄ g e	flüge	f l ü g e	1
159	TÜB E3	III_11_0081	Schapbach, Schapbach	8.28904, 48.37778	fliég	f l i é g	fliag	f l i a g	1
160	TUTT M8	III_15_0116	Riedern im Wald, Riedern	8.29113, 47.71786	flǖge	f l ü ̄ g e	flüge	f l ü g e	1
161	TUTT T14	III_16_0154	Kadelburg, Kadelburg	8.29552, 47.60851	flǖge	f l ü ̄ g e	flüege	f l ü e g e	1
162	TUTT q5	III_13_0159	Bubenbach, Bubenbach	8.29595, 47.96531	flieg	f l ie g	fliäg	f l i ä g	1
163	TUTT x6	III_14_0078	Gündelwangen, Gündelwangen	8.29672, 47.84246	fliega	f l ie g a	fliege	f l ie g e	1
164	TUTT T12	III_16_0164	Unterlauchringen, Unterlauchringen	8.30394, 47.63095	flügå	f l ü g å	flüge	f l ü g e	1
165	TUTT T16	III_16_0166	Rheinheim, Rheinheim	8.30495, 47.58771	flüge	f l ü g e	flüüge	f l üü g e	1
