	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
1516	MH p4	II_89_0013	Dörlesberg	9.501	49.71273	stecknodel	stecknadel	1	-0.25251144499813616	schteknodel	schteknadel	1	-0.06528309456870167	Stecknadel	Stecknadel	0	-0.48323353219796433
1517	MH p5	II_89_0024	Külsheim	9.5236	49.66947	stecknådel	stecknodel	1	-0.25251144499813616	schteknådel	schteknodel	1	-0.06528309456870167	Stecknadel	Stecknadel	0	-0.48323353219796433
1518	MH p6/1, MH p6/2	II_89_0025	Uissigheim, Uissigheim	9.57194	49.67957	stecknodel, stecknodel	stecknodel	0	-0.7815579410052661	schteknodel, schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel, Stecknadel	Stecknadel	0	-0.48323353219796433
1519	MH p7	II_89_0030, II_89_0031, II_89_0032	Werbach	9.63871	49.67029	stecknodel	stecknödele, stecknodel, stecknadel	0	-0.7815579410052661	schteknodel	schteknödele, schteknodel, schteknadel	0	-0.5955950302609602	Stecknadel	Stecknadele, Stecknadel, Stecknadel	0	-0.48323353219796433
1520	MH p8	II_89_0026	Gamburg	9.59986	49.69382	stecknodel	stecknodel	0	-0.7815579410052661	schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadel	0	-0.48323353219796433
1521	MH p9	II_89_0027	Niklashausen	9.6175	49.70453	stecknōdel	stecknôdl	2	0.27653505100899384	schteknodel	schteknodl	1	-0.06528309456870167	Stecknadel	Stecknadel	0	-0.48323353219796433
1522	MH p10	II_89_0028	Höhefeld	9.60905	49.71271	nodel	stecknodel	5	1.8636745390303837	nodel	schteknodel	6	2.5862765838925905	Nadel	Stecknadel	6	2.697394866615009
1523	MH p11a/1, MH p11a/2	II_89_0021	Kembach, Kembach	9.62461	49.74217	stecknodel, stecknodel	stecknodl	1	-0.25251144499813616	schteknodel, schteknodel	schteknodl	1	-0.06528309456870167	Stecknadel, Stecknadel	Stecknadel	0	-0.48323353219796433
1524	MH p12	II_89_0020	Dietenhan	9.6066	49.74297	stecknōdl	stecknodl	1	-0.25251144499813616	schteknodl	schteknodl	0	-0.5955950302609602	Stecknadel	Stecknadel	0	-0.48323353219796433
1525	MH p13	II_89_0019	Urphar	9.5706	49.74798	schdecknodl	stecknodel	4	1.3346280430232536	schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadel	0	-0.48323353219796433
1526	MH q1	na	Steinbach	9.47108	49.68011	schdeggnådel	na	999	527.7358915701176	schteknådel	na	999	529.1860287263053	Stecknadel	na	999	529.091394870162
1527	MH q2	II_89_0034	Wenkheim	9.70149	49.70022	stecknodel	stecknodel	0	-0.7815579410052661	schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadel	0	-0.48323353219796433
1528	MH q3	II_89_0035	Werbachhausen	9.67954	49.67946	stecknådel	stecknodele	2	0.27653505100899384	schteknådel	schteknodele	2	0.4650288411235568	Stecknadel	Stecknadele	1	0.046871200937531186
1529	MH q4	II_89_0040	Gerchsheim	9.78301	49.70681	stecknodel	stecknodel	0	-0.7815579410052661	schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadel	0	-0.48323353219796433
1530	MH q5	II_89_0041	Schönfeld	9.80069	49.67702	stecknodel	stecknodel	0	-0.7815579410052661	schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadel	0	-0.48323353219796433
1531	MH r1	II_57_0081, II_57_0082	Laudenbach	8.65434	49.6119	spell	spell, spell	0	-0.7815579410052661	schbel	schbel, schbel	0	-0.5955950302609602	Spelle	Spelle, Spelle	0	-0.48323353219796433
1532	MH r2	na	Hemsbach	8.64707	49.59198	schbäll	na	999	527.7358915701176	schbel	na	999	529.1860287263053	Spelle	na	999	529.091394870162
1533	MH v1	II_57_0140	Gottersdorf	9.31064	49.63751	stecknodl	na	999	527.7358915701176	schteknodl	na	999	529.1860287263053	Stecknadel	na	999	529.091394870162
1534	MH v2	II_57_0138	Rippberg	9.29762	49.62253	stecknodel	na	999	527.7358915701176	schteknodel	na	999	529.1860287263053	Stecknadel	na	999	529.091394870162
1535	MH v3	II_57_0139	Gerolzahn	9.31895	49.62645	stecknodel	stecknodel	0	-0.7815579410052661	schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadel	0	-0.48323353219796433
1536	MH w1	II_90_0001	Reichenhardsachsen, Reichenhardsachsen	9.34508	49.64003	stecknodel, schtecknodel	stecknodel	0	-0.7815579410052661	schteknodel, schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel, Stecknadel	Stecknadel	0	-0.48323353219796433
1537	MH w2	II_90_0006	Dornberg	9.42843	49.62542	stecknodel	schtecknodel	2	0.27653505100899384	schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadel	0	-0.48323353219796433
1538	MH w3	II_90_0007	Hardheim	9.47457	49.60804	stecknådel	stecknadel	1	-0.25251144499813616	schteknådel	schteknadel	1	-0.06528309456870167	Stecknadel	Stecknadel	0	-0.48323353219796433
1539	MH w4	II_90_0005	Höpfingen	9.42753	49.60185	stecknödele	stecknödele	0	-0.7815579410052661	schteknödele	schteknödele	0	-0.5955950302609602	Stecknadele	Stecknadele	0	-0.48323353219796433
1540	MH w5	II_90_0008	Steinfurt	9.48425	49.64828	stecknodel	na	999	527.7358915701176	schteknodel	na	999	529.1860287263053	Stecknadel	na	999	529.091394870162
1541	MH w6	II_90_0002	Glashofen	9.36648	49.62382	schtecknådel	stecknödeli	4	1.3346280430232536	schteknådel	schteknödeli	2	0.4650288411235568	Stecknadel	Stecknadele	1	0.046871200937531186
1542	MH w7	II_90_0003	Wettersdorf	9.38743	49.63075	schtecknadel	schticknodel	2	0.27653505100899384	schteknadel	schtiknodel	2	0.4650288411235568	Stecknadel	Stecknadel	0	-0.48323353219796433
1543	MH x1	II_90_0010	Eiersheim	9.58787	49.65953	schdegnödele	schdegnödele	0	-0.7815579410052661	schteknodele	schteknödele	1	-0.06528309456870167	Stecknadele	Stecknadele	0	-0.48323353219796433
1544	MH x2	II_90_0017, II_90_0018, II_90_0019, II_90_0020	Hochhausen	9.63526	49.6621	schdecknodel	stecknöddele, stecknodel, stecknodel, stecknodel	3	0.8055815470161238	schteknodel	schteknödele, schteknodel, schteknodel, schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadele, Stecknadel, Stecknadel, Stecknadel	0	-0.48323353219796433
1545	MH x3	II_90_0016	Impfingen	9.65946	49.64719	stecknådel	schtecknōdel	3	0.8055815470161238	schteknådel	schteknodel	1	-0.06528309456870167	Stecknadel	Stecknadel	0	-0.48323353219796433
1546	MH x4	II_90_0014	Dittwar	9.63593	49.58974	stecknodel	stecknodel	0	-0.7815579410052661	schteknodel	schteknodel	0	-0.5955950302609602	Stecknadel	Stecknadel	0	-0.48323353219796433
1547	MH x5	II_90_0013	Gissigheim	9.58726	49.59451	stecknoidele	stecknodel	2	0.27653505100899384	schteknoidele	schteknodel	2	0.4650288411235568	Stecknadele	Stecknadel	1	0.046871200937531186
