	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
2061	TUTT s2	III_34_0025	Oberbaldingen	8.60629	47.97542	pflume	na	999	527.7358915701176	pflume	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
2062	TUTT s3	III_34_0026	Unterbaldingen	8.61256	47.96992	pflume	na	999	527.7358915701176	pflume	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
2063	TUTT s4, TUTT A1	III_34_0028	Geisingen, Geisingen (Kirchenhausen)	8.65129	47.93283	pflum, pflumme	pflumm	1	-0.25251144499813616	pflum, pflume	pflum	0	-0.5955950302609602	Pflaume, Pflaume	Pflaume	0	-0.48323353219796433
2064	TUTT s5	III_34_0018	Pfohren	8.55997	47.9474	pfluma	pflumme	2	0.27653505100899384	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2065	TUTT s6	III_34_0019	Donaueschingen-Allmendshofen	8.50063	47.9405	pflumme	pflumme	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2066	TUTT s7	III_34_0023	Aasen, Aasen	8.5512	47.98	pfluäm, pfluäme	pflummä	2	0.27653505100899384	pfluem, pflueme	pflume	1	-0.06528309456870167	Pflaume, Pflaume	Pflaume	0	-0.48323353219796433
2067	TUTT s8	na	Heidenhofen, Heidenhofen	8.5657	47.98295	pfluäm, pfluäme	na	999	527.7358915701176	pfluem, pflueme	na	999	529.1860287263053	Pflaume, Pflaume	na	999	529.091394870162
2068	TUTT t1	III_34_0032	Esslingen	8.71709	47.99269	pflum	pflümme	3	0.8055815470161238	pflum	pflüme	2	0.4650288411235568	Pflaume	Pflaume	0	-0.48323353219796433
2069	TUTT t2	III_34_0027	Ippingen	8.67098	47.98355	pflum̄e	pflum̄e	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2070	TUTT t3	III_34_0029, III_34_0030, III_34_0031	Möhringen	8.75916	47.96779	pflumm	pflomm, plomm, pflomm	1	-0.25251144499813616	pflum	pflam, plame, pflam	1	-0.06528309456870167	Pflaume	Pflaume, Pflaume, Pflaume	0	-0.48323353219796433
2071	TUTT t4	III_34_0039, III_34_0040, III_34_0041	Immendingen	8.73032	47.95055	pflumm	pfluume, pfluume, pfluume	2	0.27653505100899384	pflum	pflume, pflume, pflume	1	-0.06528309456870167	Pflaume	Pflaume, Pflaume, Pflaume	0	-0.48323353219796433
2072	TUTT t5	III_34_0038	Zimmern	8.71521	47.94848	pflumme	pflumma	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2073	TUTT t6	III_34_0042	Hattingen	8.78447	47.92082	pflumme	pflumme	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2074	TUTT u1	na	Oberschwandorf	8.98238	47.9602	pflumme	na	999	527.7358915701176	pflume	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
2075	TUTT u2	III_34_0045	Unterschwandorf	8.99628	47.95028	f̠riahzwägschda	pflumme	15	7.154139499101683	friazwegschda	pflume	12	5.768148198046141	Friazwetschge	Pflaume	11	5.3479185322924865
2076	TUTT u3	III_34_0048	Gallmannsweil	8.99683	47.92357	grieche	pflumm	7	2.921767531044644	grieche	pflum	7	3.116588519584849	Grieche	Pflaume	6	2.697394866615009
2077	TUTT u4	III_34_0047	Liptingen	8.90748	47.93756	pflumme	krieche, pflumme	0	-0.7815579410052661	pflume	grieche, pflume	0	-0.5955950302609602	Pflaume	Grieche, Pflaume	0	-0.48323353219796433
2078	TUTT u5	III_34_0119	Emmingen	8.85302	47.92883	pflumme	pflumm	1	-0.25251144499813616	pflume	pflum	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
2079	TUTT v1	III_34_0054	Altheim, Altheim	9.03387	47.99511	pflumma, pflummae	zwetschg	8	3.4508140270517735	pflume, pflume	zwetschg	8	3.6469004552771076	Pflaume, Pflaume	Zwetschge	8	3.7576043328860003
2080	TUTT v2	III_34_0046	Worndorf	8.9985	47.98553	pflume	griéche	6	2.3927210350375137	pflume	grieche	6	2.5862765838925905	Pflaume	Grieche	6	2.697394866615009
2081	TUTT v3	III_34_0053	Bietingen	9.03261	47.97091	pflum̄e	pflumme	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2082	TUTT v4	III_34_0052	Krumbach	9.04788	47.96159	pflumme	pflumme	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2083	TUTT v5	III_34_0051	Boll	9.0299	47.9487	pflumä	pflumma	2	0.27653505100899384	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2084	TUTT v6	III_34_0050	Mainwangen	9.0105	47.92565	pflaima	pfluma, zibate	2	0.27653505100899384	pfläume	pflume, zibate	1	-0.06528309456870167	Pflaume	Pflaume, Zibate	0	-0.48323353219796433
2085	TUTT v7	III_34_0059	Sauldorf	9.10721	47.94343	pflumme	pflumme	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2086	TUTT v8	III_34_0060	Rast	9.12126	47.93997	pflumma	pflumme	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2087	TUTT v9	III_34_0049	Wasser	9.10143	47.9671	pflum̄a	pflumma	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2088	TUTT v10	III_34_0057, III_34_0058	Messkirch	9.11537	47.99484	pflumm	pflumm, pflumĕ	0	-0.7815579410052661	pflum	pflum, pflume	0	-0.5955950302609602	Pflaume	Pflaume, Pflaume	0	-0.48323353219796433
2089	TUTT v11	III_34_0055	Heudorf	9.07121	47.99412	pflumme	pflumme	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2090	TUTT w1/1, TUTT w1/2	na	Titisee, Titisee	8.14936	47.90254	pflume, pflumme	na	999	527.7358915701176	pflume, pflume	na	999	529.1860287263053	Pflaume, Pflaume	na	999	529.091394870162
2091	TUTT w2	na	Hinterzarten	8.10487	47.90631	na	na	999	527.7358915701176	na	na	999	529.1860287263053	na	na	999	529.091394870162
2092	TUTT w3	III_14_0072	Bärental	8.0952	47.86975	pflume	pflumme	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2093	TUTT w4	na	Falkau	8.12453	47.8699	pflūme	na	999	527.7358915701176	pflume	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
