	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
1782	KST f10	III_18_0043, III_18_0044	Daisbach, Daisbach	8.87705, 49.2938	emenzer	e m e n z e r	elmese	e l m e s e	4
1783	KST f10	III_18_0043, III_18_0044	Daisbach, Daisbach	8.87705, 49.2938	emenze	e m e n z e	elmeser	e l m e s e r	4
1784	KST f10	III_18_0043, III_18_0044	Daisbach, Daisbach	8.87705, 49.2938	emenze	e m e n z e	elmese	e l m e s e	3
1785	KST u3	III_20_0050, III_20_0047, III_20_0051, III_20_0049, III_20_0048	Eppingen, Eppingen	8.9098, 49.13704	omaise	o m a i s e	elmeise	e l m ei s e	3
1786	KST u3	III_20_0050, III_20_0047, III_20_0051, III_20_0049, III_20_0048	Eppingen, Eppingen	8.9098, 49.13704	omaise	o m a i s e	elmäse 	e l m ä s e 	5
1787	KST u3	III_20_0050, III_20_0047, III_20_0051, III_20_0049, III_20_0048	Eppingen, Eppingen	8.9098, 49.13704	omaise	o m a i s e	elmäse	e l m ä s e	4
1788	KST u3	III_20_0050, III_20_0047, III_20_0051, III_20_0049, III_20_0048	Eppingen, Eppingen	8.9098, 49.13704	omaise	o m a i s e	elmese	e l m e s e	4
1789	KST u3	III_20_0050, III_20_0047, III_20_0051, III_20_0049, III_20_0048	Eppingen, Eppingen	8.9098, 49.13704	elmäse	e l m ä s e	elmeise	e l m ei s e	2
1790	KST u3	III_20_0050, III_20_0047, III_20_0051, III_20_0049, III_20_0048	Eppingen, Eppingen	8.9098, 49.13704	elmäse	e l m ä s e	elmäse 	e l m ä s e 	1
1791	KST u3	III_20_0050, III_20_0047, III_20_0051, III_20_0049, III_20_0048	Eppingen, Eppingen	8.9098, 49.13704	elmäse	e l m ä s e	elmese	e l m e s e	1
1792	KST f3	III_18_0049, III_18_0050	Waibstadt, Waibstadt	8.9198, 49.29982	elemese	e l e m e s e	eilemese	ei l e m e s e	1
1793	MH S13	II_60_0062	Schönbrunn, Schönbrunn	8.92851, 49.41228	eilmezä	ei l m e z ä	eïlmēzä	e ï l m ē z ä	2
1794	MH S13	II_60_0062	Schönbrunn, Schönbrunn	8.92851, 49.41228	eilmezä	ei l m e z ä	eïmezä	e ï m e z ä	2
