	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
1448	Co Xa 3	III_17_0045, III_17_0044, III_17_0046	Rheinfelden-Stadt (Baden), Rheinfelden	7.78875, 47.55945	flēdermus	f l ē d e r m u s	flädermus	f l ä d e r m u s	1
1449	Co Xa 3	III_17_0045, III_17_0044, III_17_0046	Rheinfelden-Stadt (Baden), Rheinfelden	7.78875, 47.55945	flēdermus	f l ē d e r m u s	fledermus	f l e d e r m u s	1
1450	Co X 14	III_16_0103, III_16_0104	Minseln, Minseln	7.79067, 47.60301	fladermus	f l a d e r m u s	flädermus	f l ä d e r m u s	1
1451	Co f 11	III_12_0116, III_12_0115	Teningen, Teningen	7.80344, 48.12897	fledermüüs	f l e d e r m üü s	flädermüs	f l ä d e r m ü s	2
1452	Co f 11	III_12_0116, III_12_0115	Teningen, Teningen	7.80344, 48.12897	fledermüüs	f l e d e r m üü s	fledermus	f l e d e r m u s	2
1453	Co X 11	III_16_0107, III_16_0108	Wiechs, Wiechs	7.81236, 47.63655	flädrmuus	f l ä d r m uu s	fläädermuus	f l ää d e r m u u s	2
1454	Co X 11	III_16_0107, III_16_0108	Wiechs, Wiechs	7.81236, 47.63655	flädrmuus	f l ä d r m uu s	fledermus	f l e d e r m u s	3
1455	Stra R 9	III_11_0116, III_11_0115	Altdorf, Altdorf	7.81401, 48.26606	flädrmūs	f l ä d r m ū s	flähdermus	f l ä h d e r m u s	3
1456	Stra R 9	III_11_0116, III_11_0115	Altdorf, Altdorf	7.81401, 48.26606	flädrmūs	f l ä d r m ū s	flädermüs	f l ä d e r m ü s	2
1457	Co X 3	III_16_0110, III_16_0109	Schopfheim (/Grenzach, aber gestrichen), Schopfheim	7.82315, 47.64973	fledermus	f l e d e r m u s	flädermus	f l ä d e r m u s	1
1458	Co X 3	III_16_0110, III_16_0109	Schopfheim (/Grenzach, aber gestrichen), Schopfheim	7.82315, 47.64973	fledermus	f l e d e r m u s	flädermuus	f l ä d e r m uu s	2
1459	Co R9	III_15_0081, III_15_0080, III_15_0079	Zell im Wiesental, Zell im Wiesental	7.85301, 47.70753	fledermus	f l e d e r m u s	flädermus	f l ä d e r m u s	1
1460	Co R9	III_15_0081, III_15_0080, III_15_0079	Zell im Wiesental, Zell im Wiesental	7.85301, 47.70753	fledermus	f l e d e r m u s	fledermūs	f l e d e r m ū s	1
1461	Stra S 2, Stra S 3	III_11_0120, III_11_0121	Sulz, Langenhard-Sulz, Sulz	7.86031, 48.31851	fledermus	f l e d e r m u s	fledermüs	f l e d e r m ü s	1
1462	Hag K 17	III_5_0093, III_5_0094	Memmelshofen (Memmelshoffen), Memmelshofen	7.87106, 48.96013	fladdermüs	f l a dd e r m ü s	flattermüs	f l a tt e r m ü s	2
1463	Stra L 12	III_11_0060, III_11_0059	Lahr (Lahr/Schwarzwald), Lahr	7.87603, 48.34018	flädrmüs	f l ä d r m ü s	fledermus	f l e d e r m u s	3
1464	Stra L 12	III_11_0060, III_11_0059	Lahr (Lahr/Schwarzwald), Lahr	7.87603, 48.34018	flädrmüs	f l ä d r m ü s	fledermuus	f l e d e r m uu s	4
1465	Hag R 4	III_6_0080, III_6_0081	Schwabweiler, Schwabweiler	7.87665, 48.90207	flattermus	f l a tt e r m u s	flattermüs	f l a tt e r m ü s	1
1466	Hag R 4	III_6_0080, III_6_0081	Schwabweiler, Schwabweiler	7.87665, 48.90207	flattermus	f l a tt e r m u s	fladermüs	f l a d e r m ü s	3
1467	Stra w 9/2, Stra w 9/1	III_10_0058	Heselhurst, Heselhurst	7.88114, 48.52042	fläddrmüs	f l ä dd r m ü s	fläddrmus	f l ä dd r m u s	1
1468	Stra w 9/2, Stra w 9/1	III_10_0058	Heselhurst, Heselhurst	7.88114, 48.52042	fleddermüs	f l e dd e r m ü s	fläddrmus	f l ä dd r m u s	3
