lfd	Fragebogen	Ort	GID	LONG	LAT	org	item	phontype	lextype	belegnr.	erhebung	korrektur
na	III_12_0033	Ringsheim	129699	7.78041	48.24632	Guggummer (w)	guggummer	gugummer	Gugummer	1	DWA	na
na	III_12_0034	Ettenheimweiler	133763	7.82007	48.23676	Gugumeer	gugumeer	gugummer	Gugummer	1	DWA	na
na	III_12_0035	Oberhausen	130534	7.71048	48.22667	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0036	Weisweil	127926	7.67618	48.19761	Gugummer (w)	gugummer	gugummer	Gugummer	1	DWA	na
na	III_12_0037	Herbolzheim	132885	7.77743	48.22249	Gugummre	gugummre	gugummere	Gugummer	1	DWA	na
na	III_12_0038	Herbolzheim	132885	7.77743	48.22249	Gugummre	gugummre	gugummere	Gugummer	1	DWA	na
na	III_12_0039	Herbolzheim	132885	7.77743	48.22249	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0040	Tutschfelden	133294	7.80659	48.21534	Gugumere	gugumere	gugummere	Gugummer	1	DWA	na
na	III_12_0041	Broggingen	132120	7.82928	48.21892	Gugumere (w)	gugumere	gugummere	Gugummer	1	DWA	na
na	III_12_0042	Bleichheim	127536	7.8306	48.20842	Guggummere (f)	guggummere	gugummere	Gugummer	1	DWA	na
na	III_12_0043	Wagenstadt	131329	7.79647	48.20762	Gugumere (w)	gugumere	gugummere	Gugummer	1	DWA	na
na	III_12_0044	Kenzingen	131374	7.77005	48.19298	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0045	Nordweil	130577	7.81384	48.19396	Gugumere (w)	gugumere	gugummere	Gugummer	1	DWA	na
na	III_12_0046	Hecklingen	130134	7.76731	48.16962	Gukummere (w)	gukummere	gugummere	Gugummer	1	DWA	na
na	III_12_0047	Ettenheimmünster	132456	7.88015	48.24152	Gugummer	gugummer	gugummer	Gugummer	1	DWA	na
na	III_12_0048	Münchweier	130037	7.85884	48.24754	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0049	Dörlinbach	132961	7.95383	48.24804	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0050	Schweighausen	129890	7.96799	48.22021	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0051	Ottoschwanden	132486	7.89687	48.18611	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0052	Freiamt-Mußbach	132700	7.88578	48.17377	Gugumere	gugumere	gugummere	Gugummer	1	DWA	na
na	III_12_0054	Oberspitzenbach	544447	7.98858	48.1762	Guckummere (m)	guckummere	gugummere	Gugummer	1	DWA	na
na	III_12_0055	Elzach	130208	8.07142	48.17331	Guggummere	guggummere	gugummere	Gugummer	1	DWA	na
na	III_12_0056	Elzach	130208	8.07142	48.17331	Gugum̄ere (w)	gugum̄ere	gugummere	Gugummer	1	DWA	na
na	III_12_0057	Elzach	130208	8.07142	48.17331	Gugumere (w)	gugumere	gugummere	Gugummer	1	DWA	na
na	III_12_0058	Unterbiederbach	131594, 131594	8.02694	48.2183	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0059	Katzenmoos	544449	8.03332	48.167	Gugummere (w)	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0060	Oberbiederbach	131594, 131594	8.02694	48.2183	Guckgummere	guckgummere	gugummere	Gugummer	1	DWA	ok
na	III_12_0061	Unterprechtal	128449, 128449	8.12114	48.20548	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0062	Unterprechtal	128449, 128450	8.12114	48.20548	Gugummeer (w)	gugummeer	gugummer	Gugummer	1	DWA	na
na	III_12_0063	Oberprechtal	128449, 128451	8.12114	48.20548	Gugumere	gugumere	gugummere	Gugummer	1	DWA	na
na	III_12_0064	Oberprechtal	128449, 128452	8.12114	48.20548	Gugumer (w)	gugumer	gugummer	Gugummer	1	DWA	na
na	III_12_0065	Hornberg	130447	8.23036	48.21193	Gůrg (w), (Scherzhaft manchmal) Gugůmmer	gůrg	gurk	Gurke	1	DWA	na
na	III_12_0065	Hornberg	130447	8.23036	48.21193	Gůrg (w), (Scherzhaft manchmal) Gugůmmer	gugůmmer	gugummer	Gugummer	2	DWA	na
na	III_12_0066	Hornberg	130447	8.23036	48.21193	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0067	Niederwasser	132963	8.22818	48.18982	Gugumere	gugumere	gugummere	Gugummer	1	DWA	na
