	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
797	TÜB x4	III_10_0144, III_10_0143	Kniebis, Kniebis	8.3101, 48.47233	pflŭmme	p f l ŭ mm e	pflum	p f l u m	3
798	TUTT x7	III_14_0077	Göschweiler, Göschweiler	8.31065, 47.85812	pflumme	p f l u mm e	pflume	p f l u m e	1
799	TUTT M6	III_14_0183, III_14_0182, III_14_0180, III_14_0181	Birkendorf, Birkendorf	8.3126, 47.74971	pflūme	p f l ū m e	pflume	p f l u m e	1
800	TUTT b1	III_12_0159, III_12_0158, III_12_0160	Langenschiltach, Langenschiltach	8.3168, 48.16202	pflūme	p f l ū m e	pflomme	p f l o mm e	2
801	KST E3	III_5_0135	Forchheim, Forchheim	8.31683, 48.97425	pflaum	p f l a u m	pflaume	p f l a u m e	1
802	TUTT b7	III_12_0170	Oberkirnach, Oberkirnach	8.31901, 48.09369	pflo̠mmĕ	p f l o ̠ mm ĕ	pflomme	p f l o mm e	2
803	TUTT T15	III_16_0167	Dangstetten, Dangstetten	8.31944, 47.59581	pfluhme	p f l u h m e	pflumme	p f l u mm e	1
804	TUTT T13	III_16_0165	Oberlauchringen, Oberlauchringen	8.32685, 47.62036	pflume	p f l u m e	pflumĕ	p f l u m ĕ	1
805	TÜB x5, TÜB x6	III_10_0145	Bad Rippoldsau, Bad Rippoldsau	8.32852, 48.42806	pflum	p f l u m	pflume	p f l u m e	1
806	TUTT Ta1	III_16_0156	Reckingen, Reckingen	8.33116, 47.57477	plume	p l u m e	pflume	p f l u m e	1
807	KST M5	III_6_0103	Waldprechtsweier, Waldprechtsweier	8.33173, 48.8612	pfrumme	p f r u mm e	pfrümme	p f r ü mm e	1
