Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Reimersweiler	7.88417	48.9137	1	-0.2786691101280208	-0.014185943540288494
Surburg	7.84913	48.90982	3	0.9639933696510041	0.04417076200835394
Schwabweiler	7.87665	48.90207	1	-0.2786691101280208	-0.033956059651287014
Oberbetschdorf	7.89812	48.8986	0	-0.9000003500175333	-0.17702763606037233
Niederbetschdorf	7.91693	48.8985	2	0.3426621297614917	0.04458518258646169
Rittershofen	7.95587	48.90241	0	-0.9000003500175333	0.015435684233492258
Hatten	7.97777	48.90173	0	-0.9000003500175333	-0.15751305400204593
Hirschland	7.11324	48.83701	1	-0.2786691101280208	0.04276261470199398
Kirberg (Kirrberg)	7.06204	48.8233	0	-0.9000003500175333	0.04903927207869216
Rauweiler	7.10907	48.81139	1	-0.2786691101280208	0.028219161519631834
Goerlingen	7.08247	48.79646	2	0.3426621297614917	-0.050204476053649194
Etschburg (Eschbourg)	7.29591	48.81267	2	0.3426621297614917	-0.05061601866308967
Graufthal	7.28092	48.81935	1	-0.2786691101280208	0.03443887020794255
Schönburg (Schoenbourg)	7.26823	48.83392	2	0.3426621297614917	-0.03882609137589909
Pfalzweier (-weyer)	7.25813	48.80543	1	-0.2786691101280208	0.003194338500899245
Buchsweiler (Bouxwiller), Buchsweiler (Bouxwiller)	7.47851	48.82528	1	-0.2786691101280208	0.0391399472493665
Riedheim	7.47956	48.81064	1	-0.2786691101280208	0.03567851102366341
Imbsheim	7.45399	48.80165	0	-0.9000003500175333	0.07487497157409954
Neuweiler (Neuwiller-Lès-Saverne)	7.4034	48.82391	0	-0.9000003500175333	0.15227060717486118
Dosenheim (Dosenheim-Sur-Zinsel)	7.40138	48.80593	0	-0.9000003500175333	0.0463410837130581
Hattmatt	7.42386	48.79158	0	-0.9000003500175333	0.09200059982495182
Ernolsheim (Ernoldsheim-Lès-Saverne)	7.38025	48.78942	0	-0.9000003500175333	0.22362339527699399
St. Johann (Saint-Jean-Saverne)	7.36064	48.76931	0	-0.9000003500175333	0.20066798335348618
Eckartsweiler	7.357	48.76744	0	-0.9000003500175333	0.24929912243655533
Steinburg (Steinbourg)	7.41332	48.7697	3	0.9639933696510041	-0.19565380920276296
Rosenweiler-Dettweiler	7.45083	48.76772	2	0.3426621297614917	-0.06076445899666691
Dettweiler	7.46685	48.75406	1	-0.2786691101280208	0.06429766479357106
Gottesheim	7.47938	48.77591	1	-0.2786691101280208	0.04744002212246706
Gottesheim-Prinzheim	7.47921	48.79113	4	1.5853246095405167	-0.1669807982704345
Dauendorf	7.65509	48.82974	3	0.9639933696510041	-0.09935619690107941
Morschweiler	7.62689	48.81972	0	-0.9000003500175333	0.15260547985019587
Ettendorf	7.58414	48.81374	1	-0.2786691101280208	0.03539910052132896
Büsweiler (Buswiller)	7.55923	48.82025	2	0.3426621297614917	-0.030471098077467652
Schalkendorf	7.55965	48.83213	0	-0.9000003500175333	0.04604946135524326
Kirrweiler	7.53026	48.81331	0	-0.9000003500175333	0.1539712654765947
Ringendorf	7.55409	48.80777	0	-0.9000003500175333	0.04528740948888725
Hüttendorf	7.64259	48.80222	3	0.9639933696510041	-0.1014382055864903
Minversheim	7.61936	48.78575	2	0.3426621297614917	-0.043348854174960184
Lixhausen	7.5473	48.79426	2	0.3426621297614917	-0.02703180174075792
Zöbersdorf, Zöbersdorf	7.52538	48.79381	1	-0.2786691101280208	0.020704036588848656
Boselshausen	7.50884	48.80522	0	-0.9000003500175333	-0.05812056959575196
Wickersheim	7.53159	48.78313	1	-0.2786691101280208	0.01531143139425437
Bosendorf	7.55983	48.78146	1	-0.2786691101280208	-0.003322745636614411
Melsheim, Melsheim	7.51974	48.75911	0	-0.9000003500175333	0.10731909865895875
Hochfelden	7.57004	48.75735	1	-0.2786691101280208	0.00587965105117824
Schwindratzheim	7.59981	48.7561	0	-0.9000003500175333	0.052128621257510485
Wittersheim	7.66007	48.78303	1	-0.2786691101280208	0.006732149375789332
Uhlweiler	7.67396	48.82047	4	1.5853246095405167	-0.07149832033378248
Ohlungen	7.70034	48.81187	0	-0.9000003500175333	0.018597282257150016
Schweighausen (Schweighouse-Sur-Moder), Schweighausen (Schweighouse-Sur-Moder)	7.73517	48.82151	2	0.3426621297614917	-0.01376273748980256
Hagenau	7.78868	48.81435	1	-0.2786691101280208	0.014920443276087233
Gries 	7.81383	48.75262	0	-0.9000003500175333	-0.07582427414403119
