Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Donaueschingen	8.50052	47.95113	2	0.3341873922037386	0.1382431876745792
Aufen	8.47258	47.964	1	-0.13605710141810876	-0.052945113491621856
Öfingen	8.63525	47.99144	1	-0.13605710141810876	0.006498049809217639
Oberbaldingen	8.60629	47.97542	1	-0.13605710141810876	0.01285781988164162
Unterbaldingen	8.61256	47.96992	1	-0.13605710141810876	0.011207363845513811
Pfohren	8.55997	47.9474	2	0.3341873922037386	0.0656130901416534
Donaueschingen-Allmendshofen	8.50063	47.9405	2	0.3341873922037386	0.1382431876745792
Aasen	8.5512	47.98	1	-0.13605710141810876	-0.02620471640483159
Esslingen	8.71709	47.99269	2	0.3341873922037386	-0.025055499980366807
Ippingen	8.67098	47.98355	0	-0.6063015950399561	-0.048841435090916964
Möhringen	8.75916	47.96779	2	0.3341873922037386	-0.01535393213700818
Immendingen	8.73032	47.95055	1	-0.13605710141810876	-0.005969255960372791
Zimmern	8.71521	47.94848	2	0.3341873922037386	0.008851432588098767
Hattingen	8.78447	47.92082	1	-0.13605710141810876	-0.03518662311921201
Unterschwandorf, Unterschwandorf	8.99628	47.95028	3	0.8044318858255859	0.007349086752918728
Gallmannsweil	8.99683	47.92357	2	0.3341873922037386	0.0683140885505685
Liptingen	8.90748	47.93756	1	-0.13605710141810876	-0.026964018993159623
Emmingen	8.85302	47.92883	2	0.3341873922037386	0.07415238749390805
Altheim	9.03387	47.99511	1	-0.13605710141810876	0.007014068836951334
Worndorf	8.9985	47.98553	0	-0.6063015950399561	-0.039405074212776434
Bietingen	9.03261	47.97091	0	-0.6063015950399561	0.04394013766260877
Krumbach	9.04788	47.96159	1	-0.13605710141810876	0.01629113500857349
Boll	9.0299	47.9487	6	2.215165366691128	-0.28154339948211626
Mainwangen	9.0105	47.92565	1	-0.13605710141810876	-0.02394277565031806
Sauldorf	9.10721	47.94343	0	-0.6063015950399561	-0.2968023536440366
Rast	9.12126	47.93997	2	0.3341873922037386	0.14357449503232367
Wasser	9.10143	47.9671	0	-0.6063015950399561	-0.17175633494207773
Messkirch	9.11537	47.99484	0	-0.6063015950399561	-0.24610759405620725
Heudorf	9.07121	47.99412	2	0.3341873922037386	-0.01860506670822961
Bärental	8.0952	47.86975	1	-0.13605710141810876	-0.009155226253303297
Raitenbuch	8.14698	47.86647	1	-0.13605710141810876	0.01921148199307336
Altglashütten	8.11016	47.85701	2	0.3341873922037386	0.05209738075974287
Lenzkirch und Kappel	8.20144	47.8687	0	-0.6063015950399561	0.00965378418220019
Holzschlag	8.26456	47.84976	1	-0.13605710141810876	0.004372074683749068
Gündelwangen	8.29672	47.84246	1	-0.13605710141810876	0.008733814217713855
Göschweiler	8.31065	47.85812	2	0.3341873922037386	0.024446039686816905
Dittishausen	8.36266	47.90077	0	-0.6063015950399561	-0.12746527564063873
Seppenhofen	8.34864	47.8748	0	-0.6063015950399561	-0.1219796977611809
Reiselfingen	8.35108	47.85467	1	-0.13605710141810876	-0.023186284856354062
Ewattingen	8.44464	47.83863	0	-0.6063015950399561	-0.4391678233360499
Achdorf-Aselfingen	8.48733	47.84	1	-0.13605710141810876	-0.10041993837807664
Mundelfingen	8.46432	47.8676	0	-0.6063015950399561	-0.4960272446076432
Hausen vor Wald	8.49054	47.89134	3	0.8044318858255859	0.5850707546434684
Döggingen	8.43444	47.8919	3	0.8044318858255859	0.43435290751071004
Unadingen	8.40711	47.88128	9	3.62589884755667	0.5310024435753951
Bachheim	8.4031	47.85931	3	0.8044318858255859	0.3411074173247752
Gutmadingen	8.61605	47.91149	2	0.3341873922037386	0.113226808528459
Nendingen	8.86067	48.00602	3	0.8044318858255859	-0.01150140805325013
Sumpfohren	8.53796	47.90851	2	0.3341873922037386	0.17000800891090787
Behla	8.51475	47.89489	0	-0.6063015950399561	-0.340819536236981
Fürstenberg	8.55367	47.89124	1	-0.13605710141810876	-0.07407431913516575
Riedböhringen	8.53811	47.87011	2	0.3341873922037386	0.1836412363749011
Blumberg	8.53265	47.83981	9	3.62589884755667	1.5010118655028903
Riedöschingen	8.6077	47.84306	2	0.3341873922037386	0.11427804347080471
Leipferdingen	8.66787	47.86461	2	0.3341873922037386	0.02460055889287726
Stetten (bei Engen)	8.71683	47.87248	0	-0.6063015950399561	-0.0029609420103533977
Zimmerholz, Zimmerholz	8.74175	47.86811	2	0.3341873922037386	0.013747088308773686
Biesendorf	8.81255	47.91175	0	-0.6063015950399561	-0.1591113124811543
Bittelbrunn (Aach)	8.81087	47.86719	3	0.8044318858255859	-0.03460458189437837
Engen	8.76853	47.85186	2	0.3341873922037386	0.014194813259503494
Anselfingen	8.76516	47.84558	0	-0.6063015950399561	-0.05606785433826061
Neuhausen (b. Engen)	8.77423	47.8379	1	-0.13605710141810876	-0.013483023678521461
Heudorf	8.93517	47.91373	2	0.3341873922037386	0.08524439241176257
Rorgenwies	8.92043	47.90334	2	0.3341873922037386	0.022377400718556012
Reute	8.90723	47.8873	0	-0.6063015950399561	-0.07705244124047479
Honstetten	8.88331	47.8933	3	0.8044318858255859	0.012232221307275084
Eigeltingen	8.8974	47.85806	2	0.3341873922037386	0.03206083145836076
Aach	8.8497	47.84307	1	-0.13605710141810876	-0.00823428073909462
Orsingen	8.92977	47.83688	2	0.3341873922037386	0.06489927991013617
Nenzingen	8.95914	47.84256	2	0.3341873922037386	0.05528586432716523
Homberg Münchhof	8.95295	47.88032	1	-0.13605710141810876	-0.02634276853143725
Raithaslach	8.96262	47.88125	0	-0.6063015950399561	-0.12828752626509093
Mahlspüren, Mahlspüren	8.97748	47.87563	0	-0.6063015950399561	-0.1240100708150185
Schwackenreute	9.04401	47.91392	1	-0.13605710141810876	-0.022748905986653814
Zoznegg, Zoznegg	9.04053	47.89958	3	0.8044318858255859	0.10067974027036204
Sentenhart	9.12618	47.91369	1	-0.13605710141810876	-0.08623008766345248
Winterspüren	9.05857	47.85618	2	0.3341873922037386	0.054619992168109685
Stockach	9.01468	47.85384	2	0.3341873922037386	0.07172727206942311
