Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Rappoltsweiler (Ribeauvillé), Rappoltsweiler (Ribeauvillé)	7.32486	48.19355	0	-0.7988067812025565	0.18380977882051908
Zellenberg	7.31874	48.17063	0	-0.7988067812025565	-0.0079889375235606
Hunaweier (Hunawihr)	7.31671	48.18091	1	-0.31610137989859083	0.049154728223108936
Orschweiler (Orschwiller), St. Pilt (saint-Hyppolyte)	7.38445	48.24184	2	0.16660402140537486	-0.04707312130028547
Rodern	7.35716	48.22457	0	-0.7988067812025565	0.26405630869806335
Bergheim	7.35777	48.20604	1	-0.31610137989859083	0.09501173075242858
Gemar (Guémar)	7.39289	48.18656	1	-0.31610137989859083	0.06343697902745377
Illhäusern (Illhaeusern)	7.43355	48.18466	1	-0.31610137989859083	0.05910474677029022
Rohrschweier (Rorschwihr)	7.36295	48.21541	2	0.16660402140537486	-0.058780093602459574
Mussig	7.52018	48.23003	2	0.16660402140537486	-0.039713326352726674
Baldenheim	7.53925	48.23746	0	-0.7988067812025565	0.142632966352906
Bösenbiesen (Boesenbiesen)	7.56377	48.22957	2	0.16660402140537486	-0.036644893981823606
Schwobsheim	7.57481	48.2329	3	0.6493094227093406	-0.1505409102121098
Richtolsheim	7.59489	48.2251	0	-0.7988067812025565	0.12237175520785636
Saasenheim	7.61664	48.23405	0	-0.7988067812025565	0.055241286285523196
Schönau (Schoenau)	7.64715	48.22339	1	-0.31610137989859083	-0.04027293620053797
Artolsheim	7.57377	48.20951	1	-0.31610137989859083	0.07222995779572694
Hessenheim	7.55134	48.21037	0	-0.7988067812025565	0.1967141907759766
Heidolsheim	7.51527	48.20131	0	-0.7988067812025565	0.17908231079440537
Ohnenheim	7.50726	48.18379	3	0.6493094227093406	-0.11561490513480756
Boozheim (Bootzheim)	7.57052	48.18862	0	-0.7988067812025565	0.02212919157926071
Mackenheim	7.56598	48.18437	2	0.16660402140537486	-0.011592673166031943
Niederhausen	7.71317	48.23982	3	0.6493094227093406	0.13078567729649124
Oberhausen	7.71048	48.22667	4	1.1320148240133063	0.19997696597015927
Weisweil	7.67618	48.19761	2	0.16660402140537486	0.03362716982903906
Ringsheim, Ringsheim	7.78041	48.24632	2	0.16660402140537486	0.06130995556038641
Ettenheimweiler	7.82007	48.23676	1	-0.31610137989859083	-0.15000527515354686
Broggingen	7.82928	48.21892	3	0.6493094227093406	0.1815592168526324
Tutschfelden	7.80659	48.21534	1	-0.31610137989859083	-0.13526558123759994
Herbolzheim a. d. Bleich	7.77743	48.22249	0	-0.7988067812025565	-0.28667888373529615
Wagenstadt	7.79647	48.20762	0	-0.7988067812025565	-0.2625159778239759
Nordweil	7.81384	48.19396	1	-0.31610137989859083	-0.06587223147269979
Bombach	7.81686	48.17869	0	-0.7988067812025565	-0.08874210220860079
Kenzingen	7.77005	48.19298	3	0.6493094227093406	0.16783989936477722
Hecklingen	7.76731	48.16962	0	-0.7988067812025565	-0.11440758211635291
Heimbach	7.82936	48.1638	6	2.097425626621238	-0.31029296672494927
Ettenheimmünster	7.88015	48.24152	3	0.6493094227093406	0.47371517659711043
Dörlinbach	7.95383	48.24804	1	-0.31610137989859083	-0.2915516688407782
Schweighausen	7.96799	48.22021	6	2.097425626621238	1.521140385748904
Ottoschwanden	7.89687	48.18611	7	2.5801310279252037	0.8570746292367808
Oberspitzenbach	7.98858	48.1762	6	2.097425626621238	0.9148620367678967
Sankt Gallen	7.32779	48.69001	0	-0.7988067812025565	0.06235847985855958
Reinhardsmünster	7.31728	48.67755	3	0.6493094227093406	-0.07711508208212631
Otterstal	7.34837	48.75567	1	-0.31610137989859083	0.09501667785432392
Zabern, Zabern, Zabern	7.36605	48.73948	0	-0.7988067812025565	0.23833783370141584
Schweinheim (Schwenheim)	7.4132	48.71301	1	-0.31610137989859083	0.08708528511459702
Lupstein, Lupstein	7.48491	48.73763	0	-0.7988067812025565	0.16966646983818562
Friedolsheim	7.48538	48.70717	2	0.16660402140537486	-0.028166634839760375
Männolsheim	7.46258	48.69969	0	-0.7988067812025565	0.2081053415628682
Wolschheim	7.45106	48.70358	0	-0.7988067812025565	0.2212617453666343
Lochweiler	7.41619	48.69645	7	2.5801310279252037	-0.9961876962458285
Westhausen (Westhouse-Marmoutier)	7.44963	48.68592	2	0.16660402140537486	-0.0425772292364477
Knörsheim	7.46052	48.68079	0	-0.7988067812025565	0.16742628879177573
Landersheim	7.49655	48.69022	1	-0.31610137989859083	0.04645207097189213
Tal bei Maursmünster (Marmoutier)	7.35204	48.70268	0	-0.7988067812025565	0.14164418993896072
Maursmünster, Maursmünster (Marmoutier)	7.38108	48.69056	0	-0.7988067812025565	0.1592602396436459
Reutenburg	7.4064	48.68515	2	0.16660402140537486	-0.03496116957559616
Dimbstal	7.35926	48.6727	2	0.16660402140537486	-0.035035580416759464
Zehnacker	7.45086	48.67123	0	-0.7988067812025565	0.24550752535303494
Waldolwisheim	7.43629	48.73254	0	-0.7988067812025565	0.2979513126630655
Gingsheim	7.58895	48.71645	1	-0.31610137989859083	0.047121920551305846
Schaffhausen bei Hochfelden (schaffhouse-sur-Zorn)	7.56211	48.7324	1	-0.31610137989859083	0.04287775948552244
Mutzenhausen (Mutzenouse)	7.58822	48.7411	3	0.6493094227093406	-0.06740505271403469
Wingersheim	7.63371	48.72198	0	-0.7988067812025565	-0.04155092951213173
Hohatzenheim	7.61598	48.71578	2	0.16660402140537486	-0.0023194433371902246
Mittelhausen	7.63107	48.7093	7	2.5801310279252037	-0.22112216084456157
Bilwisheim	7.65824	48.70895	6	2.097425626621238	-0.12184547687447633
Mittelschäffolsheim	7.65125	48.70026	2	0.16660402140537486	0.0023024756110928205
Rumersheim	7.6354	48.69228	0	-0.7988067812025565	-0.030302047080407776
Gimbrett	7.60781	48.69592	2	0.16660402140537486	-0.012217865495181664
Reitweiler	7.61546	48.67598	0	-0.7988067812025565	0.06597453117834254
Berstett	7.65758	48.67898	0	-0.7988067812025565	0.0914075202965635
