Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Fortschweier	7.45233	48.08996	1	-0.10204971481737883	0.02280515020243399
Grussenheim	7.48794	48.1443	0	-0.7832733848769967	0.05863276706136986
Marckolsheim	7.54583	48.1675	0	-0.7832733848769967	-0.04618329829489137
Kiechlinsbergen	7.65306	48.12469	2	0.579173955242239	0.17947644497215273
Burkheim am Kaiserstuhl	7.59943	48.10194	4	1.9416212953614747	0.5975571280539973
Bischoffingen	7.62537	48.10625	3	1.260397625301857	0.47651587576668075
Wyhl am Kaiserstuhl	7.64933	48.1663	0	-0.7832733848769967	-0.3310555176476334
Dürrenenzen (Dürrenentzen)	7.50406	48.09192	1	-0.10204971481737883	-0.006421549005397876
Balzenheim (Baltzenheim)	7.55624	48.09319	3	1.260397625301857	0.3550232891006457
Arzenheim (Artzenheim)	7.5426	48.11609	1	-0.10204971481737883	-0.01214597710565736
Königschaffhausen am Kaiserstuhl	7.65562	48.13337	4	1.9416212953614747	0.6278342218832681
Sasbach	7.61363	48.13798	2	0.579173955242239	0.15637062290095283
Oberrotweil	7.63551	48.08944	0	-0.7832733848769967	-0.3977405582273017
Endingen	7.70312	48.1419	2	0.579173955242239	0.25714118077240233
Riegel	7.7507	48.15056	0	-0.7832733848769967	-0.47706017192505434
Nimburg	7.77794	48.10762	5	2.6228449654210926	0.7712192274417838
Bottingen	7.78356	48.09119	2	0.579173955242239	0.09663848866489565
Malterdingen	7.79392	48.16302	2	0.579173955242239	0.07255461870867887
Schelingen am Kaiserstuhl	7.68308	48.10435	3	1.260397625301857	0.6958339475083684
Eichstetten	7.74563	48.09417	2	0.579173955242239	0.27286127121737125
Köndringen	7.80591	48.13912	1	-0.10204971481737883	-0.01620272436908295
Forchheim	7.7031	48.16341	1	-0.10204971481737883	-0.04165638807419066
Bahlingen	7.73937	48.12209	1	-0.10204971481737883	-0.050822243109685375
Teningen	7.80344	48.12897	0	-0.7832733848769967	-0.1592957907315885
Amoltern	7.67629	48.12873	2	0.579173955242239	0.17686518254658679
Emmendingen	7.84951	48.1209	0	-0.7832733848769967	-0.15005169105647745
Wasser	7.8564	48.09846	2	0.579173955242239	0.15037605360017953
Windenreuthe (Emmendingen)	7.88675	48.11814	0	-0.7832733848769967	-0.13249599596374678
Siensbach	7.98804	48.10755	2	0.579173955242239	0.18339307922988476
Siegelau	7.97753	48.14612	0	-0.7832733848769967	-0.2230023755006615
Sexau	7.90788	48.10424	2	0.579173955242239	0.20200453407217875
Mundingen	7.8346	48.13735	3	1.260397625301857	0.21376980435410237
Maleck, Maleck	7.88416	48.12924	0	-0.7832733848769967	-0.17489322067242485
Kollnau	7.9721	48.10586	6	3.3040686354807103	0.2002840058006259
Kollmarsreute	7.87829	48.10253	0	-0.7832733848769967	-0.261802615101955
Freiamt-Reichenbach	7.92477	48.15747	0	-0.7832733848769967	-0.40897956908896754
Freiamt-Mußbach (Mussbach)	7.88578	48.17377	1	-0.10204971481737883	-0.005955097925640821
Keppenbach	7.92037	48.14437	4	1.9416212953614747	0.5527908228388599
Gutach	7.98722	48.11814	0	-0.7832733848769967	-0.3191649168408135
Münster (Munster), Münster (Munster)	7.13185	48.0418	1	-0.10204971481737883	0.008268120775038428
Sulzern (Soultzeren)	7.10254	48.06373	1	-0.10204971481737883	0.008579224027795993
Metzeral	7.07146	48.01325	0	-0.7832733848769967	0.0219050667500694
Eschbach	7.14594	48.02896	0	-0.7832733848769967	0.12224992279942197
Hohrod	7.12607	48.05444	0	-0.7832733848769967	0.0118621611402412
Luttenbach (Luttenbach-Près-Munster)	7.11745	48.03105	0	-0.7832733848769967	0.06590720748762567
Breitenbach (Breitenbach-Haut-Rhin)	7.10087	48.02382	2	0.579173955242239	-0.12053728505743164
Hohrodberg	7.13528	48.06037	3	1.260397625301857	-0.17145083993765414
Stossweier	7.10163	48.05432	1	-0.10204971481737883	0.008579224027795991
Mühlbach (Muhlbach-Sur-Munster)	7.08731	48.02582	0	-0.7832733848769967	0.09539807376760383
Griesbach (Griesbach-Au-Val)	7.17071	48.03351	2	0.579173955242239	-0.10675581645726574
Günsbach (Gunsbach)	7.17323	48.0464	0	-0.7832733848769967	-0.007850077360262709
Wettolsheim	7.30629	48.06133	1	-0.10204971481737883	0.019310565147174035
Geberschweiher (Gueberschwihr)	7.27661	48.00444	0	-0.7832733848769967	0.14420024853676444
Hattstatt	7.30016	48.0108	3	1.260397625301857	-0.25846776708862884
Häusern	7.28067	48.03226	0	-0.7832733848769967	0.013549017134421892
Walbach	7.22416	48.06257	1	-0.10204971481737883	0.002436247513853083
Weier (Wihr-Au-Val)	7.20558	48.05217	1	-0.10204971481737883	0.006814362790181393
Herlisheim (Herrlisheim)	7.32932	48.01677	3	1.260397625301857	-0.3280211243395328
Sulzbach (Soultzbach-Les-Bains)	7.20324	48.03797	4	1.9416212953614747	-0.33402529849140444
Obermorschweier	7.30037	48.01773	0	-0.7832733848769967	0.14947208331478565
Vöklinshofen (Voegtlinshoffen)	7.28224	48.01954	0	-0.7832733848769967	0.13233524531023946
Egisheim	7.30455	48.04168	2	0.579173955242239	-0.11074752095355947
Zimmerbach	7.23755	48.07261	1	-0.10204971481737883	-0.0036170528155855973
Kolmar (/Hausen an der Möhlin), Kolmar, Kolmar, Kolmar, Kolmar, Kolmar	7.36359	48.08198	0	-0.7832733848769967	0.050370934216132014
Sundhofen (Sundhoffen)	7.41499	48.04248	4	1.9416212953614747	-0.10856295635290213
Heiligkreuz (Sainte-Croix-en-Plaine)	7.3831	48.00666	1	-0.10204971481737883	0.00525718465149771
Logelbach	7.30991	48.0865	2	0.579173955242239	-0.08718623944349023
Widensolen	7.47996	48.06278	1	-0.10204971481737883	-0.01369997928510546
Logelnheim (Logelheim)	7.40918	48.0211	0	-0.7832733848769967	-0.04016547941970275
Weier auf dem Land (Wihr-en-Plaine)	7.41118	48.0844	1	-0.10204971481737883	0.003328013546105055
Andolsheim	7.41512	48.06763	1	-0.10204971481737883	0.005653385431951938
Appenweier (Appenwihr)	7.43962	48.02594	1	-0.10204971481737883	0.009478926524876422
Hettenschlag 	7.45782	48.00441	3	1.260397625301857	-0.03401090374180566
Urschenheim	7.48632	48.08696	3	1.260397625301857	0.03045057727520941
Breisach	7.59332	48.04535	2	0.579173955242239	0.2666205535210255
Gündlingen	7.64227	48.01556	3	1.260397625301857	0.3583700553536225
Ihringen	7.64554	48.04572	1	-0.10204971481737883	-0.056870948080971914
Achkarren	7.62448	48.06769	2	0.579173955242239	0.2294103469016903
Neubreisach (Neuf-Brisach)	7.52909	48.01843	2	0.579173955242239	0.11020537661761269
Künheim (Kunheim)	7.53422	48.07788	0	-0.7832733848769967	-0.2019065696306394
Volgelsheim	7.55292	48.01693	3	1.260397625301857	0.2771862549340158
Vogelgrün (Vogelgrun)	7.57243	48.0111	2	0.579173955242239	0.132998497070793
Biesheim	7.54467	48.04048	0	-0.7832733848769967	-0.27525862543442176
Wolfganzen	7.5016	48.02747	1	-0.10204971481737883	-0.01993673143827722
Algolsheim	7.55708	48.00563	2	0.579173955242239	0.09389842227161022
Umgebung von Neubreisach (Weckolsheim)	7.51347	48.00264	0	-0.7832733848769967	-0.18282211117627375
Reute	7.82538	48.08175	6	3.3040686354807103	0.3713081145781079
Merdingen	7.68864	48.0173	2	0.579173955242239	0.18649798354358557
Hochdorf	7.80212	48.0489	0	-0.7832733848769967	-0.1350013991704008
Hugstetten	7.78045	48.05415	5	2.6228449654210926	0.33943795679105804
Buchheim	7.77912	48.06092	1	-0.10204971481737883	-0.028400158684767744
Bötzingen	7.72593	48.07743	2	0.579173955242239	0.2519528176681718
Waltershofen	7.71857	48.02338	0	-0.7832733848769967	-0.370232171200074
Zähringen	7.86149	48.02593	1	-0.10204971481737883	-0.056974802508131396
Oberglottertal, Oberglottertal	7.96407	48.04803	2	0.579173955242239	0.657564944142987
Gundelfingen	7.87313	48.04353	0	-0.7832733848769967	-0.3769840182678967
Vörstetten	7.85113	48.06391	1	-0.10204971481737883	-0.024851852880978752
Denzlingen	7.87987	48.06793	0	-0.7832733848769967	-0.23596852007522634
Buchholz i.Br.	7.91201	48.08253	0	-0.7832733848769967	-0.3046576997254176
Krüt (Kruth)	6.96629	47.92912	0	-0.7832733848769967	-0.35770697307302507
Wildenstein bei Krüt, Kreis Tann	6.96296	47.98143	3	1.260397625301857	0.20178493710153522
Lintal (Linthal, Kreis Tann)	7.12943	47.94619	1	-0.10204971481737883	0.003214202084829259
Lautenbach (Kreis Tann)	7.15877	47.9414	1	-0.10204971481737883	0.00421261857184931
