	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
420	Co F7/1	III_14_0107, III_14_0121, III_14_0119, III_14_0115, III_14_0111, III_14_0116, III_14_0113, III_14_0118, III_14_0120, III_14_0117, III_14_0114, III_14_0109, III_14_0110	Mülhausen, Mülhausen	7.34375, 47.7517	scharmüß	sch a r m ü ß	schārmüs  	sch ā r m ü s  	4
421	Co F7/1	III_14_0107, III_14_0121, III_14_0119, III_14_0115, III_14_0111, III_14_0116, III_14_0113, III_14_0118, III_14_0120, III_14_0117, III_14_0114, III_14_0109, III_14_0110	Mülhausen, Mülhausen	7.34375, 47.7517	scharmüß	sch a r m ü ß	schármüs	sch á r m ü s	2
422	Co F7/1	III_14_0107, III_14_0121, III_14_0119, III_14_0115, III_14_0111, III_14_0116, III_14_0113, III_14_0118, III_14_0120, III_14_0117, III_14_0114, III_14_0109, III_14_0110	Mülhausen, Mülhausen	7.34375, 47.7517	scharmüß	sch a r m ü ß	scharmüs	sch a r m ü s	1
423	Co F7/1	III_14_0107, III_14_0121, III_14_0119, III_14_0115, III_14_0111, III_14_0116, III_14_0113, III_14_0118, III_14_0120, III_14_0117, III_14_0114, III_14_0109, III_14_0110	Mülhausen, Mülhausen	7.34375, 47.7517	scharmüß	sch a r m ü ß	scharmüser	sch a r m ü s e r	3
424	Co F7/1	III_14_0107, III_14_0121, III_14_0119, III_14_0115, III_14_0111, III_14_0116, III_14_0113, III_14_0118, III_14_0120, III_14_0117, III_14_0114, III_14_0109, III_14_0110	Mülhausen, Mülhausen	7.34375, 47.7517	scharmüß	sch a r m ü ß	scharmüss	sch a r m ü ss	2
425	Co G4, Co G7	III_14_0122	Napoleonsinsel (Ile Napoléon), Illzach, Illzach, Illzach	7.34839, 47.78217	schaamūs	sch aa m ū s	scharmüs	sch a r m ü s	2
426	Co O1/2, Co O1/1	III_15_0031, III_15_0032	Rixheim, Napoleoninsel Rixheim, Rixheim	7.39739, 47.74412	schārmǖs	sch ā r m ǖ s	scharmüs	sch a r m ü s	2
427	Co O1/2, Co O1/1	III_15_0031, III_15_0032	Rixheim, Napoleoninsel Rixheim, Rixheim	7.39739, 47.74412	schārmüs	sch ā r m ü s	scharmüs	sch a r m ü s	1
428	Co W 15/1, Co W 15, 14, Co W 15/2	III_16_0039, III_16_0062, III_16_0040	Boltzheim (Blotzheim), Blotzheim	7.49611, 47.60128	scharmüs	sch a r m ü s	scheermus	sch ee r m u s	3
429	Co W 15/1, Co W 15, 14, Co W 15/2	III_16_0039, III_16_0062, III_16_0040	Boltzheim (Blotzheim), Blotzheim	7.49611, 47.60128	scharmüs	sch a r m ü s	scharmus	sch a r m u s	1
430	Co Wa 4	III_16_0065, III_16_0063, III_16_0064	Sankt Ludwig (Saint-Louis) , Sankt Ludwig	7.56351, 47.58575	scharmüs	sch a r m ü s	schärmüs	sch ä r m ü s	1
431	Co Wa 4	III_16_0065, III_16_0063, III_16_0064	Sankt Ludwig (Saint-Louis) , Sankt Ludwig	7.56351, 47.58575	scharmüs	sch a r m ü s	scharmüas	sch a r m ü a s	1
432	Co W 3, Co W 2	III_16_0068, III_16_0069	Kirchen (Efringen-Kirchen), Efringen (Efringen-Kirchen), Kirchen, Efringen	7.56471, 47.64989	schärmus	sch ä r m u s	schärmuus	sch ä r m uu s	1
433	Co W 10	III_16_0072, III_16_0073	Binzen, Binzen, Märkt	7.62403, 47.63133	scharmüs	sch a r m ü s	schērmus	sch ē r m u s	2
434	Co W 10	III_16_0072, III_16_0073	Binzen, Binzen, Märkt	7.62403, 47.63133	scharmüs	sch a r m ü s	scharmaus	sch a r m a u s	2
435	Co W 10	III_16_0072, III_16_0073	Binzen, Binzen, Märkt	7.62403, 47.63133	scharmüs	sch a r m ü s	schärmuus	sch ä r m uu s	3
436	Co W 6	III_16_0076	Schallbach, Schallbach	7.62759, 47.65706	scharmus	sch a r m u s	schär	sch ä r	4
437	Co W 6	III_16_0076	Schallbach, Schallbach	7.62759, 47.65706	scharmus	sch a r m u s	schärmus	sch ä r m u s	1
438	Co W 20	III_16_0079, III_16_0081, III_16_0080, III_16_0082, III_16_0083	Lörrach , Lörrach, Lörrach <Adolf Hitler Schule>	7.66409, 47.61258	schärmūs	sch ä r m ū s	schermaus	sch e r m a u s	3
439	Co W 20	III_16_0079, III_16_0081, III_16_0080, III_16_0082, III_16_0083	Lörrach , Lörrach, Lörrach <Adolf Hitler Schule>	7.66409, 47.61258	schärmūs	sch ä r m ū s	schärmus	sch ä r m u s	1
440	Co W 20	III_16_0079, III_16_0081, III_16_0080, III_16_0082, III_16_0083	Lörrach , Lörrach, Lörrach <Adolf Hitler Schule>	7.66409, 47.61258	schärmūs	sch ä r m ū s	schärmuus	sch ä r m uu s	2
441	Co n 4	III_13_0059, III_13_0058	Merdingen, Merdingen	7.68864, 48.0173	scharmus	sch a r m u s	schaͤrmus	sch a ͤ r m u s	1
442	Co n 4	III_13_0059, III_13_0058	Merdingen, Merdingen	7.68864, 48.0173	scharmus	sch a r m u s	schärmus	sch ä r m u s	1
443	Co n 4	III_13_0059, III_13_0058	Merdingen, Merdingen	7.68864, 48.0173	schärmus	sch ä r m u s	schaͤrmus	sch a ͤ r m u s	2
444	Co n 4	III_13_0059, III_13_0058	Merdingen, Merdingen	7.68864, 48.0173	schärmus	sch ä r m u s	scharmus	sch a r m u s	1
445	Co u 1/2, Co u 1/1	III_13_0135	Biengen, Biengen	7.68958, 47.93875	scharmūüs	sch a r m ū ü s	scheermuus	sch ee r m u u s	4
446	Co u 1/2, Co u 1/1	III_13_0135	Biengen, Biengen	7.68958, 47.93875	schärmus	sch ä r m u s	scheermuus	sch ee r m u u s	3
447	Co Xa 5	III_17_0039, III_17_0040, III_17_0038	Wyhlen, Wyhlen	7.69103, 47.54989	schärmuus	sch ä r m uu s	scharmus	sch a r m u s	2
448	Co Xa 5	III_17_0039, III_17_0040, III_17_0038	Wyhlen, Wyhlen	7.69103, 47.54989	schärmuus	sch ä r m uu s	schärmus	sch ä r m u s	1
449	Co Xa 5	III_17_0039, III_17_0040, III_17_0038	Wyhlen, Wyhlen	7.69103, 47.54989	schärmuus	sch ä r m uu s	schäärmuus	sch ää r m u u s	1
450	Co f 1	III_12_0122, III_12_0120, III_12_0121	Endingen, Endingen	7.70312, 48.1419	schermus	sch e r m u s	scharmüs	sch a r m ü s	2
451	Co B6	III_14_0064, III_14_0063, III_14_0062	Sulzburg, Sulzburg	7.70727, 47.84122	schermus	sch e r m u s	scheermus	sch ee r m u s	1
452	Co B6	III_14_0064, III_14_0063, III_14_0062	Sulzburg, Sulzburg	7.70727, 47.84122	schermus	sch e r m u s	schärmus	sch ä r m u s	1
453	Co B6	III_14_0064, III_14_0063, III_14_0062	Sulzburg, Sulzburg	7.70727, 47.84122	schermus	sch e r m u s	scheermuus	sch ee r m u u s	2
454	Co n 12	III_13_0048, III_13_0050, III_13_0051, III_13_0049	Bötzingen, Bötzingen	7.72593, 48.07743	schermūs	sch e r m ū s	scheermus	sch ee r m u s	2
455	Co n 12	III_13_0048, III_13_0050, III_13_0051, III_13_0049	Bötzingen, Bötzingen	7.72593, 48.07743	schermūs	sch e r m ū s	schermus	sch e r m u s	1
456	Co n 12	III_13_0048, III_13_0050, III_13_0051, III_13_0049	Bötzingen, Bötzingen	7.72593, 48.07743	schermūs	sch e r m ū s	schärmus	sch ä r m u s	2
457	Co n 12	III_13_0048, III_13_0050, III_13_0051, III_13_0049	Bötzingen, Bötzingen	7.72593, 48.07743	schermūs	sch e r m ū s	schèrmus	sch è r m u s	2
458	Co B9	III_14_0059, III_14_0061, III_14_0060	Staufen (bei Freiburg), Staufen	7.72962, 47.88166	schärmūs	sch ä r m ū s	scheermūs	sch ee r m ū s	2
459	Co B9	III_14_0059, III_14_0061, III_14_0060	Staufen (bei Freiburg), Staufen	7.72962, 47.88166	schärmūs	sch ä r m ū s	schērmūs	sch ē r m ū s	1
460	Co Xa 3	III_17_0045, III_17_0044, III_17_0046	Rheinfelden-Stadt (Baden), Rheinfelden	7.78875, 47.55945	schärmūs	sch ä r m ū s	schärmus  	sch ä r m u s  	3
461	Co Xa 3	III_17_0045, III_17_0044, III_17_0046	Rheinfelden-Stadt (Baden), Rheinfelden	7.78875, 47.55945	schärmūs	sch ä r m ū s	scharmus	sch a r m u s	2
